script,timestamp,server,cpu,gpu,model,device,dtype,quant,precision,workload,sla_seconds,think_time_s,level,is_best,result,note,replicas,batch_size,offered_rps,requests_per_minute,rho,requests_measured,images_per_second,images_per_minute,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,denoise_pct,cpu_launch_ms,gpu_ms,p50_ms,p95_ms,p99_ms,mean_latency_ms,predicted_mean_ms,sla_attainment_pct,dropped,mean_batch_size,queue_depth_max,cpu_cores_busy_mean,gpu_util_pct_mean,gpu_power_w_mean,cpu_power_w_mean,power_w_mean,images_per_second_per_w,file
dit_throughput,20260916_044658,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cpu,bfloat16,disabled,bfloat16,throughput,,,,,ok,,1,1,,,,,0.037,2.22,27027.0,26.70,0.75,82.8,,,,,,,,,,,,46.5,,,340.8,340.8,0.000,dit_throughput_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_20260916_044658.txt
server_dit_benchmark,20260917_142237,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cpu,bfloat16,disabled,bfloat16,interactive,30,30,0.694,,FAIL,stopped early: 3 scored misses already put p95 over the SLA,1,1,0.01157,0.694,0.25,30,0.032,1.92,31250.0,31.2500,0.640,,,,40320.0,42570.0,42880.0,36200.0,25220.0,25.0,0,1.00,1,38.5,,,,330.7,0.000097,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cpu1r_20260917_142237.txt
server_dit_benchmark,20260917_142237,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cpu,bfloat16,disabled,bfloat16,interactive,30,30,1.388,,FAIL,stopped early: 5 scored misses already put p95 over the SLA,1,1,0.02313,1.388,0.50,30,0.031,1.86,32258.1,32.2581,0.620,,,,64850.0,inf,inf,59630.0,32430.0,0.0,1,1.00,4,45.9,,,,345.5,0.000090,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cpu1r_20260917_142237.txt
dit_throughput,20260916_044658,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cpu,bfloat16,disabled,bfloat16,throughput,,,,yes,ok,,2,1,,,,,0.070,4.20,14285.7,28.69,1.39,166.1,,,,,,,,,,,,92.6,,,2223.9,2223.9,0.000,dit_throughput_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_20260916_044658.txt
server_dit_benchmark,20260917_154027,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cpu,bfloat16,disabled,bfloat16,interactive,30,30,1.246,,FAIL,stopped early: 3 scored misses already put p95 over the SLA,2,1,0.02077,1.246,0.25,30,0.028,1.68,35714.3,35.7143,0.560,,,,23130.0,33170.0,34120.0,24780.0,24880.0,83.3,0,1.00,1,30.8,,,,718.5,0.000039,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cpu2r_20260917_154027.txt
server_dit_benchmark,20260917_154027,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cpu,bfloat16,disabled,bfloat16,interactive,30,30,2.492,,FAIL,stopped early: 5 scored misses already put p95 over the SLA,2,1,0.04153,2.492,0.50,30,0.054,3.24,18518.5,18.5185,1.080,,,,48710.0,54360.0,55010.0,46630.0,28100.0,0.0,0,1.00,4,83.4,,,,413.5,0.000131,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cpu2r_20260917_154027.txt
dit_throughput,20260916_031017,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,throughput,,,,,ok,,1,1,,,,,0.238,14.28,4201.7,4.20,4.76,0.5,,,,,,,,,,,,1.1,99.5,71.8,260.5,332.3,0.001,dit_throughput_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_20260916_031017.txt
server_dit_benchmark,20260916_163328,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,7.132,,PASS,ok,1,1,0.11887,7.132,0.50,100,0.117,7.02,8547.0,8.5470,2.340,,,,4840.0,17790.0,21410.0,7560.0,6310.0,100.0,0,1.00,4,0.5,49.9,,,308.5,0.000379,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260916_163328.txt
server_dit_benchmark,20260916_163328,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,9.985,,PASS,ok,1,1,0.16642,9.985,0.70,100,0.164,9.84,6097.6,6.0976,3.280,,,,8530.0,23170.0,28820.0,10720.0,9110.0,99.0,0,1.00,7,0.8,69.8,,,747.8,0.000219,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260916_163328.txt
server_dit_benchmark,20260916_163328,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,12.125,,PASS,ok,1,1,0.20208,12.125,0.85,100,0.199,11.94,5025.1,5.0251,3.980,,,,13170.0,27950.0,32790.0,14500.0,16120.0,97.0,0,1.00,8,0.9,85.2,,,846.4,0.000235,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260916_163328.txt
server_dit_benchmark,20260916_163328,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,12.628,yes,PASS,ok,1,1,0.21047,12.628,0.89,100,0.207,12.42,4830.9,4.8309,4.140,,,,14280.0,29750.0,33530.0,15850.0,20430.0,95.0,0,1.00,8,1.0,88.9,,,869.5,0.000238,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260916_163328.txt
server_dit_benchmark,20260916_163328,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,13.151,,FAIL,stopped early: 6 scored misses already put p95 over the SLA,1,1,0.21918,13.151,0.92,100,0.220,13.20,4545.5,4.5455,4.400,,,,25140.0,31730.0,35880.0,22150.0,29050.0,86.4,0,1.00,8,1.1,98.4,,,331.7,0.000663,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260916_163328.txt
server_dit_benchmark,20260916_163328,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,14.264,,FAIL,stopped early: 7 scored misses already put p95 over the SLA,1,1,0.23773,14.264,1.00,100,0.184,11.04,5434.8,5.4348,3.680,,,,30340.0,33910.0,34400.0,29290.0,inf,46.2,0,1.00,8,1.1,98.7,,,331.8,0.000555,server_dit_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260916_163328.txt
server_dit_vllm,20260919_040919,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,12.442,,PASS,ok,1,1,0.20737,12.442,0.50,100,0.204,12.24,4902.0,4.9020,4.080,,,,2770.0,10090.0,12200.0,4320.0,3620.0,100.0,0,,5,0.8,49.5,,,310.9,0.000656,server_dit_vllm_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260919_040919.txt
server_dit_vllm,20260919_040919,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,17.418,,PASS,ok,1,1,0.29030,17.418,0.70,100,0.286,17.16,3496.5,3.4965,5.720,,,,4860.0,13200.0,16410.0,6110.0,5220.0,100.0,0,,6,1.1,69.4,,,1069.2,0.000267,server_dit_vllm_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260919_040919.txt
server_dit_vllm,20260919_040919,SR630 V4,6740P,L4,Efficient-Large-Model/Sana_1600M_1024px_diffusers,cuda,bfloat16,disabled,bfloat16,interactive,30,30,21.151,,PASS,ok,1,1,0.35252,21.151,0.85,100,0.346,20.76,2890.2,2.8902,6.920,,,,7400.0,15860.0,18660.0,8240.0,9240.0,100.0,0,,8,1.3,85.9,,,1234.7,0.000280,server_dit_vllm_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260919_040919.txt
