level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
15.1813,0,0,ok,0,1,1.9533,0.0003,0.0000,1.9523,0.0007,0.1002,1.4009,0.4477,0.0034,
15.1813,1,0,ok,0,2,5.9589,0.0007,1.8526,4.1052,0.0004,0.1787,2.9943,0.9252,0.0070,
15.1813,2,0,ok,0,2,4.6878,0.0009,0.5812,4.1052,0.0005,0.1787,2.9943,0.9252,0.0070,
15.1813,3,0,ok,0,1,5.6490,0.0013,3.6882,1.9592,0.0003,0.1049,1.4021,0.4494,0.0027,
15.1813,4,0,ok,0,1,2.3438,0.0017,0.3767,1.9652,0.0002,0.1061,1.4028,0.4524,0.0039,
15.1813,5,0,ok,0,1,1.9570,0.0004,0.0000,1.9564,0.0002,0.1064,1.3958,0.4501,0.0041,
15.1813,6,0,ok,0,1,1.9493,0.0008,0.0000,1.9483,0.0002,0.1032,1.3931,0.4487,0.0033,
15.1813,7,0,ok,0,1,3.5395,0.0007,1.5891,1.9494,0.0003,0.1061,1.3905,0.4493,0.0034,
15.1813,8,0,ok,0,2,5.4910,0.0015,1.3720,4.1171,0.0004,0.1798,2.9970,0.9338,0.0065,
15.1813,9,0,ok,0,2,5.3715,0.0021,1.2519,4.1171,0.0004,0.1798,2.9970,0.9338,0.0065,
15.1813,10,1,ok,0,2,8.4944,0.0011,4.3953,4.0977,0.0003,0.1758,2.9926,0.9217,0.0075,
15.1813,11,1,ok,0,2,5.7124,0.0006,1.6137,4.0977,0.0003,0.1758,2.9926,0.9217,0.0075,
15.1813,12,1,ok,0,2,9.7201,0.0005,5.6056,4.1137,0.0003,0.1737,3.0017,0.9322,0.0061,
15.1813,13,1,ok,0,2,8.8439,0.0013,4.7287,4.1137,0.0003,0.1737,3.0017,0.9322,0.0061,
15.1813,14,1,ok,0,2,8.8084,0.0010,4.6951,4.1121,0.0003,0.1746,3.0073,0.9233,0.0069,
15.1813,15,1,ok,0,2,5.6967,0.0011,1.5833,4.1121,0.0003,0.1746,3.0073,0.9233,0.0069,
15.1813,16,1,ok,0,2,8.8250,0.0010,4.7115,4.1122,0.0003,0.1761,3.0061,0.9226,0.0073,
15.1813,17,1,ok,0,2,5.3083,0.0007,1.1951,4.1122,0.0003,0.1761,3.0061,0.9226,0.0073,
15.1813,18,1,ok,0,1,1.9530,0.0009,0.0000,1.9519,0.0002,0.1022,1.3964,0.4494,0.0038,
