level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
3.8137,0,0,ok,0,1,8.0672,0.0007,0.0000,8.0657,0.0008,0.9061,3.6873,3.4690,0.0033,
3.8137,1,0,ok,0,1,15.5148,0.0009,7.6678,7.8454,0.0007,0.8034,3.6630,3.3759,0.0031,
3.8137,2,0,ok,0,1,18.4988,0.0011,10.4536,8.0435,0.0006,0.9917,3.5639,3.4839,0.0039,
3.8137,3,0,ok,0,1,22.3253,0.0013,14.5237,7.7998,0.0006,0.7322,3.6927,3.3722,0.0027,
3.8137,4,0,ok,0,1,9.2018,0.0012,1.3429,7.8572,0.0006,0.7485,3.6692,3.4354,0.0040,
3.8137,5,0,ok,0,1,8.0596,0.0011,0.0000,8.0579,0.0006,0.8132,3.7726,3.4683,0.0038,
3.8137,6,0,ok,0,1,7.9539,0.0005,0.0000,7.9527,0.0007,0.7499,3.6785,3.5209,0.0034,
3.8137,7,0,ok,0,1,14.7350,0.0013,6.5217,8.2114,0.0006,0.7756,3.8897,3.5425,0.0036,
3.8137,8,0,ok,0,1,14.0039,0.0013,6.1114,7.8906,0.0006,0.7981,3.6327,3.4567,0.0031,
3.8137,9,0,ok,0,1,21.4883,0.0019,13.5261,7.9597,0.0006,0.8390,3.6550,3.4623,0.0034,
3.8137,10,1,ok,0,1,25.4891,0.0014,17.6053,7.8819,0.0006,0.7680,3.6748,3.4353,0.0037,
3.8137,11,1,ok,0,1,22.3052,0.0029,14.4116,7.8900,0.0007,0.7579,3.6448,3.4836,0.0037,
3.8137,12,1,ok,0,1,29.9466,0.0005,21.8816,8.0638,0.0007,1.0119,3.6337,3.4147,0.0035,
3.8137,13,1,ok,0,1,34.6698,0.0017,26.4570,8.2105,0.0006,1.0239,3.6968,3.4866,0.0031,
3.8137,14,1,ok,0,1,26.2953,0.0006,18.1576,8.1365,0.0006,0.8355,3.7900,3.5069,0.0039,
3.8137,15,1,ok,0,1,21.7331,0.0010,13.9073,7.8242,0.0006,0.8344,3.6665,3.3198,0.0035,
3.8137,16,1,ok,0,1,25.7660,0.0010,17.8142,7.9503,0.0006,0.8541,3.5731,3.5191,0.0039,
3.8137,17,1,ok,0,1,19.7829,0.0006,11.7661,8.0157,0.0006,0.8611,3.6844,3.4668,0.0033,
3.8137,18,1,ok,0,1,7.9635,0.0010,0.0000,7.9619,0.0006,0.7815,3.7191,3.4574,0.0039,
3.8137,19,1,ok,0,1,15.7388,0.0025,7.8585,7.8772,0.0007,0.7976,3.6382,3.4376,0.0037,
3.8137,20,1,ok,0,1,8.0145,0.0012,0.0000,8.0128,0.0006,0.7462,3.8089,3.4545,0.0031,
3.8137,21,1,ok,0,1,8.1760,0.0009,0.0000,8.1745,0.0006,1.0448,3.7370,3.3900,0.0026,
3.8137,22,1,ok,0,1,9.5102,0.0015,1.6312,7.8769,0.0006,0.8134,3.5895,3.4707,0.0033,
3.8137,23,1,ok,0,1,14.8593,0.0003,6.8513,8.0071,0.0006,0.7786,3.7490,3.4763,0.0032,
3.8137,24,1,ok,0,1,7.9580,0.0011,0.0000,7.9563,0.0006,0.8764,3.6909,3.3856,0.0034,
3.8137,25,1,ok,0,1,9.6666,0.0005,1.5012,8.1643,0.0006,1.0260,3.7331,3.4018,0.0034,
3.8137,26,1,ok,0,1,16.1601,0.0008,8.1345,8.0242,0.0006,0.8687,3.6904,3.4617,0.0034,
3.8137,27,1,ok,0,1,22.6513,0.0010,14.5588,8.0910,0.0006,0.9621,3.6175,3.5078,0.0035,
3.8137,28,1,ok,0,1,7.8815,0.0012,0.0000,7.8797,0.0006,0.7901,3.6429,3.4432,0.0034,
3.8137,29,1,ok,0,1,7.9870,0.0016,0.0000,7.9848,0.0006,0.8402,3.6146,3.5266,0.0033,
3.8137,30,1,ok,0,1,7.8440,0.0005,0.0000,7.8429,0.0006,0.7486,3.6593,3.4312,0.0037,
3.8137,31,1,ok,0,1,8.0674,0.0019,0.0000,8.0648,0.0006,0.8434,3.7211,3.4971,0.0033,
3.8137,32,1,ok,0,1,7.9345,0.0013,0.0000,7.9326,0.0006,0.8806,3.6564,3.3917,0.0037,
3.8137,33,1,ok,0,1,7.9631,0.0012,0.0000,7.9613,0.0006,0.8532,3.6444,3.4604,0.0032,
3.8137,34,1,ok,0,1,8.5305,0.0008,0.4785,8.0506,0.0006,0.9461,3.6878,3.4134,0.0033,
3.8137,35,1,ok,0,1,8.1611,0.0018,0.0000,8.1588,0.0006,0.9146,3.7282,3.5121,0.0038,
3.8137,36,1,ok,0,1,7.9383,0.0016,0.0000,7.9361,0.0006,0.8674,3.6541,3.4111,0.0035,
3.8137,37,1,ok,0,1,8.0267,0.0026,0.0000,8.0235,0.0006,0.9222,3.6873,3.4101,0.0038,
3.8137,38,1,ok,0,1,8.0682,0.0013,0.0000,8.0663,0.0006,0.8041,3.8394,3.4195,0.0033,
3.8137,39,1,ok,0,1,8.1582,0.0010,0.0000,8.1566,0.0006,0.8875,3.7052,3.5607,0.0031,
5.3391,0,0,ok,0,1,8.1798,0.0012,0.0000,8.1780,0.0006,0.8943,3.7309,3.5493,0.0035,
5.3391,1,0,ok,0,1,15.8192,0.0019,7.8933,7.9234,0.0006,0.8013,3.6510,3.4680,0.0031,
5.3391,2,0,ok,0,1,20.1953,0.0013,12.2035,7.9899,0.0006,0.8783,3.6383,3.4694,0.0039,
5.3391,3,0,ok,0,1,25.2909,0.0021,17.3548,7.9335,0.0006,0.7916,3.6540,3.4852,0.0027,
5.3391,4,0,ok,0,1,18.1290,0.0007,10.3036,7.8241,0.0006,0.8583,3.6626,3.2992,0.0039,
5.3391,5,0,ok,0,1,13.4547,0.0018,5.4377,8.0145,0.0006,0.8841,3.6734,3.4532,0.0038,
5.3391,6,0,ok,0,1,7.9568,0.0016,0.0000,7.9545,0.0006,0.8386,3.6598,3.4527,0.0034,
5.3391,7,0,ok,0,1,14.8770,0.0029,6.9318,7.9417,0.0006,0.7399,3.7025,3.4958,0.0035,
5.3391,8,0,ok,0,1,16.7706,0.0003,8.7179,8.0519,0.0006,0.8172,3.7536,3.4780,0.0031,
5.3391,9,0,ok,0,1,24.4227,0.0008,16.4299,7.9914,0.0006,0.8230,3.7083,3.4567,0.0034,
5.3391,10,1,ok,0,1,29.4744,0.0009,21.6492,7.8237,0.0006,0.8263,3.5880,3.4057,0.0036,
5.3391,11,1,ok,0,1,29.4328,0.0013,21.5627,7.8683,0.0006,0.7508,3.6505,3.4633,0.0037,
5.3391,12,1,ok,0,1,37.0497,0.0005,29.1301,7.9186,0.0006,0.8051,3.5694,3.5408,0.0033,
5.3391,13,1,ok,0,1,42.6495,0.0015,34.5569,8.0905,0.0006,0.9621,3.6968,3.4284,0.0031,
5.3391,14,1,ok,0,1,38.8529,0.0013,30.8542,7.9968,0.0006,0.8200,3.6945,3.4784,0.0039,
5.3391,15,1,ok,0,1,38.0583,0.0013,30.0038,8.0525,0.0007,0.8258,3.7052,3.5180,0.0035,
5.3391,16,1,cancelled,-1,0,inf,0.0006,-,-,-,-,-,-,-,
5.3391,17,1,cancelled,-1,0,inf,0.0021,-,-,-,-,-,-,-,
5.3391,18,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,19,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,20,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,21,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,22,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,23,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,24,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,25,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,26,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,27,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,28,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,29,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,30,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,31,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,32,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,33,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,34,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,35,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,36,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,37,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,38,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
5.3391,39,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,0,0,ok,0,1,7.8783,0.0010,0.0000,7.8767,0.0006,0.7480,3.6158,3.5095,0.0033,
4.5124,1,0,ok,0,1,15.3480,0.0007,7.5409,7.8059,0.0006,0.7384,3.5845,3.4798,0.0031,
4.5124,2,0,ok,0,1,19.0216,0.0006,11.0708,7.9495,0.0006,0.8441,3.6515,3.4500,0.0039,
4.5124,3,0,ok,0,1,23.6238,0.0007,15.6623,7.9602,0.0006,0.9190,3.5860,3.4524,0.0027,
4.5124,4,0,ok,0,1,13.7987,0.0012,5.8901,7.9068,0.0006,0.7319,3.6889,3.4820,0.0039,
4.5124,5,0,ok,0,1,7.9589,0.0007,0.0000,7.9575,0.0006,0.7387,3.7467,3.4683,0.0037,
4.5124,6,0,ok,0,1,7.8715,0.0018,0.0000,7.8691,0.0006,0.8129,3.6001,3.4527,0.0034,
4.5124,7,0,ok,0,1,14.6846,0.0016,6.6606,8.0218,0.0006,0.8196,3.6898,3.5089,0.0035,
4.5124,8,0,ok,0,1,15.3620,0.0006,7.3967,7.9640,0.0006,0.8297,3.6509,3.4803,0.0031,
4.5124,9,0,ok,0,1,22.9872,0.0009,14.9589,8.0269,0.0006,0.8103,3.7151,3.4980,0.0034,
4.5124,10,1,ok,0,1,27.7743,0.0005,19.7062,8.0671,0.0006,0.7557,3.7356,3.5720,0.0037,
4.5124,11,1,ok,0,1,26.5050,0.0021,18.4125,8.0898,0.0006,0.8900,3.6915,3.5046,0.0037,
4.5124,12,1,ok,0,1,34.0767,0.0010,26.1464,7.9287,0.0006,0.8533,3.6628,3.4092,0.0034,
4.5124,13,1,ok,0,1,39.2539,0.0010,31.1279,8.1244,0.0006,0.8702,3.7006,3.5505,0.0031,
4.5124,14,1,ok,0,1,33.5486,0.0011,25.2980,8.2489,0.0006,0.8359,3.9296,3.4794,0.0040,
4.5124,15,1,ok,0,1,31.2104,0.0006,23.0791,8.1301,0.0007,0.9470,3.6818,3.4977,0.0035,
4.5124,16,1,cancelled,-1,0,inf,0.0006,-,-,-,-,-,-,-,
4.5124,17,1,cancelled,-1,0,inf,0.0009,-,-,-,-,-,-,-,
4.5124,18,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,19,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,20,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,21,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,22,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,23,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,24,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,25,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,26,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,27,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,28,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,29,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,30,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,31,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,32,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,33,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
4.5124,34,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
