level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
14.7609,0,0,ok,0,1,2.0354,0.0005,0.0000,2.0340,0.0008,0.1018,1.4765,0.4524,0.0034,
14.7609,1,0,ok,0,1,3.9678,0.0021,1.9303,2.0351,0.0003,0.1037,1.4812,0.4468,0.0034,
14.7609,2,0,ok,0,1,4.6912,0.0012,2.6593,2.0305,0.0002,0.1045,1.4742,0.4478,0.0040,
14.7609,3,0,ok,0,1,5.6918,0.0010,3.6635,2.0271,0.0002,0.1027,1.4787,0.4429,0.0028,
14.7609,4,0,ok,0,1,2.3243,0.0007,0.2703,2.0531,0.0002,0.1057,1.4890,0.4544,0.0039,
14.7609,5,0,ok,0,1,2.0388,0.0010,0.0000,2.0376,0.0002,0.1030,1.4794,0.4511,0.0041,
14.7609,6,0,ok,0,1,2.0339,0.0011,0.0000,2.0326,0.0002,0.0998,1.4845,0.4450,0.0033,
14.7609,7,0,ok,0,1,3.6955,0.0018,1.6623,2.0311,0.0002,0.1020,1.4801,0.4455,0.0035,
14.7609,8,0,ok,0,1,3.5152,0.0012,1.4666,2.0472,0.0002,0.1059,1.4882,0.4499,0.0032,
14.7609,9,0,ok,0,1,5.4347,0.0004,3.3919,2.0423,0.0002,0.1016,1.4833,0.4539,0.0034,
14.7609,10,1,ok,0,1,6.4742,0.0006,4.4312,2.0421,0.0002,0.1020,1.4843,0.4520,0.0039,
14.7609,11,1,ok,0,1,5.6538,0.0007,3.6122,2.0407,0.0002,0.1025,1.4840,0.4506,0.0036,
14.7609,12,1,ok,0,1,7.5892,0.0005,5.5440,2.0445,0.0002,0.1033,1.4870,0.4511,0.0031,
14.7609,13,1,ok,0,1,8.7358,0.0004,6.6877,2.0476,0.0002,0.1034,1.4892,0.4520,0.0029,
14.7609,14,1,ok,0,1,6.5149,0.0024,4.4675,2.0448,0.0002,0.1018,1.4871,0.4521,0.0038,
14.7609,15,1,ok,0,1,5.3566,0.0018,3.3128,2.0419,0.0002,0.1031,1.4871,0.4485,0.0031,
14.7609,16,1,ok,0,1,6.4023,0.0017,4.3427,2.0576,0.0003,0.1052,1.4910,0.4574,0.0039,
14.7609,17,1,ok,0,1,4.8271,0.0009,2.7846,2.0414,0.0002,0.1039,1.4858,0.4481,0.0036,
14.7609,18,1,ok,0,1,2.0414,0.0009,0.0000,2.0403,0.0002,0.0997,1.4878,0.4491,0.0037,
14.7609,19,1,ok,0,1,4.0615,0.0015,2.0133,2.0464,0.0002,0.1033,1.4885,0.4510,0.0036,
14.7609,20,1,ok,0,1,2.0338,0.0013,0.0000,2.0323,0.0002,0.1027,1.4822,0.4443,0.0031,
14.7609,21,1,ok,0,1,2.0404,0.0011,0.0000,2.0390,0.0002,0.1004,1.4889,0.4471,0.0026,
14.7609,22,1,ok,0,1,2.4000,0.0015,0.3484,2.0500,0.0002,0.1034,1.4879,0.4558,0.0029,
14.7609,23,1,ok,0,1,3.7636,0.0014,1.7117,2.0502,0.0002,0.1030,1.4882,0.4560,0.0031,
14.7609,24,1,ok,0,1,2.0354,0.0018,0.0000,2.0333,0.0002,0.1001,1.4834,0.4471,0.0028,
14.7609,25,1,ok,0,1,2.4206,0.0006,0.3667,2.0530,0.0002,0.1044,1.4929,0.4524,0.0034,
14.7609,26,1,ok,0,1,4.0720,0.0008,2.0241,2.0469,0.0002,0.1044,1.4879,0.4513,0.0034,
14.7609,27,1,ok,0,1,5.7101,0.0008,3.6577,2.0514,0.0002,0.1047,1.4901,0.4530,0.0035,
14.7609,28,1,ok,0,1,2.0418,0.0022,0.0000,2.0393,0.0002,0.1003,1.4862,0.4494,0.0033,
14.7609,29,1,ok,0,1,2.0522,0.0011,0.0000,2.0509,0.0002,0.1002,1.4959,0.4515,0.0033,
14.7609,30,1,ok,0,1,2.0450,0.0008,0.0000,2.0440,0.0002,0.1026,1.4865,0.4513,0.0036,
14.7609,31,1,ok,0,1,2.0393,0.0025,0.0000,2.0366,0.0002,0.1006,1.4846,0.4482,0.0032,
14.7609,32,1,ok,0,1,2.0389,0.0023,0.0000,2.0364,0.0002,0.0988,1.4855,0.4485,0.0036,
14.7609,33,1,ok,0,1,2.0379,0.0007,0.0000,2.0371,0.0002,0.0986,1.4878,0.4475,0.0031,
14.7609,34,1,ok,0,1,2.1520,0.0013,0.1031,2.0473,0.0002,0.1011,1.4931,0.4498,0.0033,
14.7609,35,1,ok,0,1,2.0421,0.0020,0.0000,2.0399,0.0002,0.1005,1.4863,0.4494,0.0036,
14.7609,36,1,ok,0,1,2.0377,0.0013,0.0000,2.0362,0.0002,0.1021,1.4813,0.4497,0.0031,
14.7609,37,1,ok,0,1,2.0347,0.0016,0.0000,2.0329,0.0002,0.1023,1.4828,0.4443,0.0034,
14.7609,38,1,ok,0,1,2.0394,0.0026,0.0000,2.0366,0.0002,0.1017,1.4828,0.4485,0.0036,
14.7609,39,1,ok,0,1,2.0407,0.0004,0.0000,2.0402,0.0002,0.1005,1.4867,0.4499,0.0030,
14.7609,40,1,ok,0,1,2.0303,0.0016,0.0000,2.0285,0.0002,0.1012,1.4809,0.4432,0.0031,
14.7609,41,1,ok,0,1,3.8925,0.0002,1.8394,2.0526,0.0002,0.1047,1.4941,0.4505,0.0032,
14.7609,42,1,ok,0,1,4.8813,0.0011,2.8400,2.0400,0.0002,0.1026,1.4844,0.4496,0.0034,
14.7609,43,1,ok,0,1,5.5379,0.0014,3.4913,2.0450,0.0002,0.1011,1.4907,0.4500,0.0031,
14.7609,44,1,ok,0,1,7.2386,0.0008,5.1990,2.0385,0.0002,0.1039,1.4842,0.4474,0.0030,
14.7609,45,1,ok,0,1,8.2096,0.0009,6.1605,2.0480,0.0002,0.1044,1.4885,0.4513,0.0038,
14.7609,46,1,ok,0,1,9.8259,0.0010,7.7758,2.0489,0.0002,0.1035,1.4903,0.4521,0.0030,
14.7609,47,1,ok,0,1,10.5564,0.0007,8.5014,2.0542,0.0002,0.1039,1.4930,0.4537,0.0034,
14.7609,48,1,ok,0,1,8.4964,0.0006,6.4514,2.0441,0.0002,0.1014,1.4885,0.4506,0.0036,
14.7609,49,1,ok,0,1,8.7007,0.0003,6.6512,2.0490,0.0002,0.1041,1.4895,0.4522,0.0032,
14.7609,50,1,ok,0,1,8.8726,0.0010,6.8204,2.0509,0.0002,0.1030,1.4914,0.4522,0.0043,
14.7609,51,1,ok,0,1,9.9700,0.0014,7.9155,2.0528,0.0002,0.1043,1.4905,0.4545,0.0034,
14.7609,52,1,ok,0,1,10.7550,0.0004,8.7071,2.0473,0.0002,0.1017,1.4910,0.4508,0.0038,
14.7609,53,1,ok,0,1,2.0441,0.0012,0.0000,2.0427,0.0002,0.1015,1.4886,0.4492,0.0033,
14.7609,54,1,ok,0,1,2.0467,0.0010,0.0000,2.0455,0.0002,0.1022,1.4900,0.4503,0.0030,
14.7609,55,1,ok,0,1,2.0446,0.0013,0.0000,2.0431,0.0002,0.1034,1.4871,0.4495,0.0031,
14.7609,56,1,ok,0,1,3.3294,0.0002,1.2814,2.0476,0.0002,0.1024,1.4934,0.4489,0.0029,
14.7609,57,1,ok,0,1,2.0387,0.0005,0.0000,2.0380,0.0002,0.1005,1.4888,0.4455,0.0031,
14.7609,58,1,ok,0,1,3.3713,0.0012,1.3123,2.0575,0.0002,0.1053,1.4964,0.4521,0.0038,
14.7609,59,1,ok,0,1,3.4901,0.0007,1.4310,2.0582,0.0002,0.1040,1.4919,0.4594,0.0028,
14.7609,60,1,ok,0,1,2.0366,0.0007,0.0000,2.0357,0.0002,0.1032,1.4856,0.4439,0.0030,
14.7609,61,1,ok,0,1,2.0424,0.0012,0.0000,2.0410,0.0002,0.0974,1.4917,0.4485,0.0034,
14.7609,62,1,ok,0,1,2.0464,0.0008,0.0000,2.0454,0.0002,0.1013,1.4909,0.4496,0.0035,
14.7609,63,1,ok,0,1,2.0394,0.0017,0.0000,2.0375,0.0002,0.0999,1.4876,0.4470,0.0030,
14.7609,64,1,ok,0,1,2.0458,0.0012,0.0000,2.0444,0.0002,0.1026,1.4892,0.4493,0.0032,
14.7609,65,1,ok,0,1,2.0447,0.0009,0.0000,2.0436,0.0002,0.1020,1.4929,0.4458,0.0029,
14.7609,66,1,ok,0,1,3.0400,0.0007,0.9866,2.0524,0.0002,0.1004,1.4981,0.4505,0.0034,
14.7609,67,1,ok,0,1,4.9594,0.0003,2.9071,2.0518,0.0002,0.1044,1.4919,0.4522,0.0033,
14.7609,68,1,ok,0,1,5.4672,0.0010,3.4178,2.0481,0.0002,0.1024,1.4924,0.4499,0.0035,
