level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
4.7119,0,0,ok,0,1,6.3371,0.0002,0.0000,6.3361,0.0007,0.1729,5.7180,0.4424,0.0027,
4.7119,1,0,ok,0,2,19.3737,0.0005,6.0141,13.3586,0.0005,0.3241,11.7870,1.2404,0.0071,
4.7119,2,0,ok,0,2,15.2782,0.0013,1.9178,13.3586,0.0005,0.3241,11.7870,1.2404,0.0071,
4.7119,3,0,ok,0,1,18.4075,0.0023,12.0596,6.3453,0.0003,0.1750,5.7291,0.4385,0.0027,
4.7119,4,0,ok,0,1,7.7680,0.0009,1.4251,6.3418,0.0002,0.1779,5.7204,0.4400,0.0035,
4.7119,5,0,ok,0,1,6.3330,0.0007,0.0000,6.3320,0.0003,0.1717,5.7142,0.4425,0.0036,
4.7119,6,0,ok,0,1,6.2811,0.0008,0.0000,6.2801,0.0002,0.1712,5.6631,0.4428,0.0030,
4.7119,7,0,ok,0,1,11.4241,0.0009,5.1220,6.3010,0.0002,0.1781,5.6820,0.4379,0.0029,
4.7119,8,0,ok,0,2,17.8150,0.0014,4.4441,13.3693,0.0002,0.3367,11.7809,1.2452,0.0063,
4.7119,9,0,ok,0,2,17.4298,0.0006,4.0597,13.3693,0.0002,0.3367,11.7809,1.2452,0.0063,
4.7119,10,1,ok,0,2,27.6630,0.0015,14.2867,13.3745,0.0003,0.3232,11.8041,1.2406,0.0065,
4.7119,11,1,ok,0,2,18.6996,0.0020,5.3228,13.3745,0.0003,0.3232,11.8041,1.2406,0.0065,
4.7119,12,1,ok,0,2,31.7448,0.0009,18.3562,13.3874,0.0003,0.3256,11.8166,1.2397,0.0054,
4.7119,13,1,ok,0,2,28.9219,0.0010,15.5332,13.3874,0.0003,0.3256,11.8166,1.2397,0.0054,
4.7119,14,1,ok,0,2,28.9766,0.0024,15.5556,13.4183,0.0003,0.3321,11.8358,1.2438,0.0065,
4.7119,15,1,ok,0,2,18.9510,0.0010,5.5314,13.4183,0.0003,0.3321,11.8358,1.2438,0.0065,
4.7119,16,1,ok,0,2,29.1943,0.0013,15.7787,13.4140,0.0003,0.3306,11.8364,1.2403,0.0066,
4.7119,17,1,ok,0,2,17.8638,0.0016,4.4479,13.4140,0.0003,0.3306,11.8364,1.2403,0.0066,
4.7119,18,1,ok,0,1,6.3268,0.0002,0.0000,6.3264,0.0003,0.1704,5.7060,0.4464,0.0036,
4.7119,19,1,ok,0,1,12.6045,0.0003,6.2435,6.3605,0.0002,0.1718,5.7482,0.4370,0.0035,
4.7119,20,1,ok,0,1,6.3216,0.0015,0.0000,6.3199,0.0002,0.1688,5.7060,0.4419,0.0031,
4.7119,21,1,ok,0,1,6.3225,0.0009,0.0000,6.3214,0.0002,0.1732,5.7034,0.4423,0.0026,
4.7119,22,1,ok,0,1,7.3718,0.0006,1.0260,6.3450,0.0002,0.1803,5.7239,0.4379,0.0028,
4.7119,23,1,ok,0,1,11.5703,0.0011,5.2189,6.3501,0.0002,0.1748,5.7314,0.4411,0.0028,
4.7119,24,1,ok,0,1,6.2887,0.0017,0.0000,6.2868,0.0002,0.1708,5.6726,0.4402,0.0031,
4.7119,25,1,ok,0,1,7.3816,0.0018,1.0615,6.3182,0.0002,0.1731,5.7013,0.4408,0.0030,
4.7119,26,1,ok,0,2,19.4897,0.0011,6.1412,13.3473,0.0002,0.3254,11.7809,1.2346,0.0063,
4.7119,27,1,ok,0,2,18.1945,0.0012,4.8458,13.3473,0.0002,0.3254,11.7809,1.2346,0.0063,
4.7119,28,1,ok,0,1,6.3131,0.0013,0.0000,6.3115,0.0002,0.1733,5.6940,0.4409,0.0032,
4.7119,29,1,ok,0,1,6.3233,0.0020,0.0000,6.3210,0.0002,0.1703,5.7055,0.4420,0.0032,
4.7119,30,1,ok,0,1,6.2999,0.0006,0.0000,6.2991,0.0002,0.1687,5.6852,0.4419,0.0032,
4.7119,31,1,ok,0,1,6.2931,0.0009,0.0000,6.2919,0.0002,0.1755,5.6722,0.4411,0.0030,
4.7119,32,1,ok,0,1,6.2902,0.0007,0.0000,6.2892,0.0002,0.1707,5.6711,0.4441,0.0033,
4.7119,33,1,ok,0,1,6.2637,0.0016,0.0000,6.2619,0.0003,0.1740,5.6445,0.4406,0.0028,
4.7119,34,1,ok,0,1,6.4669,0.0009,0.2057,6.2600,0.0002,0.1768,5.6374,0.4426,0.0032,
