level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
2.1668,0,0,ok,0,1,30.0640,0.0013,0.0000,30.0617,0.0009,2.1256,24.6672,3.2658,0.0030,
2.1668,1,0,ok,1,1,25.8089,0.0002,0.0000,25.8078,0.0009,2.1120,20.6998,2.9926,0.0033,
2.1668,2,0,ok,1,1,42.5619,0.0014,16.9016,25.6583,0.0006,1.9371,20.8199,2.8970,0.0043,
2.1668,3,0,ok,0,1,42.2422,0.0012,13.4614,28.7790,0.0008,1.9916,23.5136,3.2709,0.0028,
2.1668,4,0,ok,1,1,25.5060,0.0012,0.0000,25.5042,0.0006,1.9251,20.7028,2.8725,0.0038,
2.1668,5,0,ok,0,1,30.2956,0.0003,0.0000,30.2946,0.0006,2.2029,24.7984,3.2897,0.0035,
2.1668,6,0,ok,1,1,26.3345,0.0015,0.0000,26.3323,0.0006,1.9581,21.3891,2.9818,0.0033,
2.1668,7,0,ok,0,1,29.5045,0.0009,0.0000,29.5029,0.0006,2.1482,24.1442,3.2074,0.0031,
2.1668,8,0,ok,1,1,35.1345,0.0008,8.6395,26.4936,0.0006,2.0770,21.5043,2.9092,0.0031,
2.1668,9,0,ok,0,1,42.9089,0.0011,13.4901,29.4169,0.0008,2.0193,24.2018,3.1920,0.0038,
2.1668,10,1,ok,1,1,53.4269,0.0021,27.4631,25.9611,0.0006,1.9596,21.1057,2.8922,0.0036,
2.1668,11,1,ok,0,1,45.2137,0.0013,16.5842,28.6276,0.0006,1.9409,23.5280,3.1551,0.0036,
2.1668,12,1,ok,1,1,60.4802,0.0006,33.1898,27.2892,0.0006,1.9321,22.2422,3.1117,0.0032,
2.1668,13,1,ok,0,1,67.3058,0.0014,38.3289,28.9749,0.0006,2.0645,23.7487,3.1584,0.0031,
2.1668,14,1,ok,1,1,52.6850,0.0016,25.2790,27.4036,0.0008,1.9871,22.4538,2.9592,0.0034,
