level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
4.0440,0,0,ok,0,1,7.3784,0.0003,0.0000,7.3773,0.0008,0.1695,6.7604,0.4446,0.0028,
4.0440,1,0,ok,0,1,14.4137,0.0013,7.0013,7.4106,0.0005,0.1767,6.7893,0.4415,0.0031,
4.0440,2,0,ok,0,1,17.0633,0.0014,9.6404,7.4211,0.0004,0.1775,6.7972,0.4423,0.0041,
4.0440,3,0,ok,0,1,20.7398,0.0008,13.3148,7.4239,0.0002,0.1776,6.7971,0.4464,0.0027,
4.0440,4,0,ok,0,1,8.3740,0.0015,0.9518,7.4204,0.0003,0.1810,6.7905,0.4453,0.0035,
4.0440,5,0,ok,0,1,7.3945,0.0007,0.0000,7.3936,0.0002,0.1710,6.7736,0.4454,0.0036,
4.0440,6,0,ok,0,1,7.3514,0.0015,0.0000,7.3496,0.0002,0.1681,6.7346,0.4438,0.0031,
4.0440,7,0,ok,0,1,13.3828,0.0016,6.0003,7.3807,0.0002,0.1773,6.7544,0.4458,0.0032,
4.0440,8,0,ok,0,1,12.6421,0.0010,5.2504,7.3904,0.0002,0.1790,6.7663,0.4418,0.0033,
4.0440,9,0,ok,0,1,19.5932,0.0007,12.1926,7.3997,0.0002,0.1768,6.7778,0.4416,0.0034,
4.0440,10,1,ok,0,1,23.3384,0.0012,15.9315,7.4054,0.0003,0.1777,6.7794,0.4449,0.0034,
4.0440,11,1,ok,0,1,20.3118,0.0009,12.8935,7.4170,0.0003,0.1783,6.7901,0.4455,0.0032,
4.0440,12,1,ok,0,1,27.3318,0.0004,19.9123,7.4188,0.0002,0.1774,6.7938,0.4447,0.0029,
4.0440,13,1,ok,0,1,31.4760,0.0008,24.0418,7.4331,0.0003,0.1806,6.8031,0.4466,0.0027,
4.0440,14,1,ok,0,1,23.3308,0.0016,15.9031,7.4258,0.0003,0.1790,6.8000,0.4432,0.0036,
4.0440,15,1,ok,0,1,19.0808,0.0013,11.6479,7.4313,0.0002,0.1789,6.8046,0.4446,0.0032,
4.0440,16,1,ok,0,1,22.8275,0.0007,15.3853,7.4413,0.0002,0.1800,6.8123,0.4454,0.0036,
4.0440,17,1,ok,0,1,17.0618,0.0023,9.6232,7.4361,0.0002,0.1805,6.8066,0.4459,0.0032,
