level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
1.5643,0,0,ok,0,1,19.0109,0.0011,0.0000,19.0090,0.0008,0.1638,18.2417,0.6007,0.0027,
1.5643,1,0,ok,0,1,37.2145,0.0010,18.0384,19.1746,0.0005,0.1704,18.4000,0.6012,0.0031,
1.5643,2,0,ok,0,1,44.0731,0.0015,24.8768,19.1944,0.0004,0.1733,18.4151,0.6023,0.0036,
1.5643,3,0,ok,0,1,53.5748,0.0002,34.3847,19.1896,0.0004,0.1765,18.4098,0.6005,0.0028,
1.5643,4,0,ok,0,1,21.6220,0.0010,2.4224,19.1985,0.0002,0.1776,18.4140,0.6033,0.0035,
1.5643,5,0,ok,0,1,19.1311,0.0011,0.0000,19.1297,0.0003,0.1629,18.3587,0.6045,0.0036,
1.5643,6,0,ok,0,1,18.9344,0.0013,0.0000,18.9327,0.0004,0.1657,18.1631,0.6007,0.0031,
1.5643,7,0,ok,0,1,34.4961,0.0005,15.4453,19.0500,0.0002,0.1718,18.2733,0.6017,0.0031,
1.5643,8,0,ok,0,1,32.6306,0.0011,13.4740,19.1552,0.0002,0.1696,18.3810,0.6014,0.0031,
1.5643,9,0,ok,0,1,50.6536,0.0012,31.4691,19.1830,0.0002,0.1744,18.4012,0.6039,0.0034,
1.5643,10,1,ok,0,1,60.4164,0.0024,41.1881,19.2256,0.0003,0.1739,18.4444,0.6037,0.0036,
1.5643,11,1,ok,0,1,52.6380,0.0012,33.4157,19.2208,0.0003,0.1702,18.4428,0.6043,0.0035,
1.5643,12,1,ok,0,1,70.7964,0.0018,51.6046,19.1896,0.0003,0.1690,18.4148,0.6030,0.0028,
1.5643,13,1,dropped,-1,0,inf,0.0009,-,-,-,-,-,-,-,
1.5643,14,1,ok,0,1,41.2640,0.0015,22.0372,19.2249,0.0004,0.1753,18.4435,0.6022,0.0039,
1.5643,15,1,ok,0,1,30.2870,0.0018,11.0633,19.2217,0.0003,0.1716,18.4466,0.6002,0.0032,
1.5643,16,1,ok,0,1,39.9771,0.0005,20.7348,19.2413,0.0005,0.1747,18.4581,0.6048,0.0037,
1.5643,17,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,18,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,19,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,20,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,21,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,22,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,23,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,24,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,25,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,26,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,27,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,28,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,29,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
1.5643,30,1,not_sent,-1,0,inf,-,-,-,-,-,-,-,-,
