level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
3.5652,0,0,ok,0,1,8.3651,0.0013,0.0000,8.3630,0.0008,0.1606,7.7613,0.4382,0.0028,
3.5652,1,0,ok,0,2,25.1096,0.0008,7.9380,17.1704,0.0004,0.2756,15.5816,1.3074,0.0058,
3.5652,2,0,ok,0,2,19.6969,0.0008,2.5254,17.1704,0.0004,0.2756,15.5816,1.3074,0.0058,
3.5652,3,0,ok,0,1,23.8311,0.0004,15.4457,8.3847,0.0003,0.1695,7.7774,0.4352,0.0025,
3.5652,4,0,ok,0,1,9.8162,0.0015,1.3862,8.4283,0.0002,0.1668,7.8158,0.4416,0.0040,
3.5652,5,0,ok,0,1,8.3690,0.0011,0.0000,8.3676,0.0003,0.1578,7.7676,0.4395,0.0027,
3.5652,6,0,ok,0,1,8.3179,0.0011,0.0000,8.3165,0.0003,0.1595,7.7224,0.4319,0.0027,
3.5652,7,0,ok,0,1,15.1410,0.0022,6.7851,8.3534,0.0003,0.1674,7.7465,0.4365,0.0030,
3.5652,8,0,ok,0,2,22.9902,0.0017,5.9161,17.0721,0.0003,0.2807,15.5433,1.2423,0.0058,
3.5652,9,0,ok,0,2,22.4811,0.0012,5.4075,17.0721,0.0003,0.2807,15.5433,1.2423,0.0058,
3.5652,10,1,ok,0,2,35.4388,0.0024,18.3266,17.1094,0.0003,0.2813,15.5878,1.2331,0.0073,
3.5652,11,1,ok,0,2,23.5924,0.0009,6.4818,17.1094,0.0003,0.2813,15.5878,1.2331,0.0073,
3.5652,12,1,ok,0,2,40.2695,0.0008,23.1390,17.1294,0.0003,0.2774,15.6116,1.2352,0.0052,
3.5652,13,1,ok,0,2,36.5386,0.0010,19.4079,17.1294,0.0003,0.2774,15.6116,1.2352,0.0052,
3.5652,14,1,ok,0,2,36.0647,0.0008,18.8756,17.1881,0.0002,0.2869,15.6538,1.2415,0.0059,
3.5652,15,1,ok,0,2,22.8145,0.0006,5.6256,17.1881,0.0002,0.2869,15.6538,1.2415,0.0059,
3.5652,16,1,ok,0,2,35.8078,0.0006,18.6230,17.1840,0.0003,0.2749,15.6629,1.2388,0.0074,
3.5652,17,1,ok,0,2,20.8330,0.0013,3.6474,17.1840,0.0003,0.2749,15.6629,1.2388,0.0074,
3.5652,18,1,ok,0,1,8.4041,0.0022,0.0000,8.4016,0.0002,0.1626,7.7930,0.4428,0.0031,
3.5652,19,1,ok,0,1,16.6841,0.0007,8.2937,8.3896,0.0002,0.1657,7.7839,0.4365,0.0033,
3.5652,20,1,ok,0,1,8.3747,0.0005,0.0000,8.3740,0.0002,0.1611,7.7722,0.4375,0.0032,
3.5652,21,1,ok,0,1,8.3544,0.0005,0.0000,8.3536,0.0003,0.1592,7.7547,0.4371,0.0025,
3.5652,22,1,ok,0,1,9.7339,0.0010,1.3543,8.3784,0.0003,0.1708,7.7657,0.4391,0.0028,
3.5652,23,1,ok,0,1,15.2832,0.0019,6.8880,8.3930,0.0002,0.1696,7.7850,0.4355,0.0028,
3.5652,24,1,ok,0,1,8.3086,0.0004,0.0000,8.3079,0.0003,0.1579,7.7115,0.4358,0.0027,
3.5652,25,1,ok,0,1,9.7314,0.0018,1.4006,8.3288,0.0002,0.1671,7.7232,0.4356,0.0028,
3.5652,26,1,ok,0,2,25.1772,0.0017,8.0917,17.0836,0.0002,0.2805,15.5481,1.2484,0.0065,
3.5652,27,1,ok,0,2,23.4653,0.0007,6.3807,17.0836,0.0002,0.2805,15.5481,1.2484,0.0065,
3.5652,28,1,ok,0,1,8.3571,0.0030,0.0000,8.3539,0.0002,0.1582,7.7539,0.4387,0.0030,
3.5652,29,1,ok,0,1,8.3510,0.0010,0.0000,8.3498,0.0002,0.1582,7.7495,0.4388,0.0032,
3.5652,30,1,ok,0,1,8.3276,0.0006,0.0000,8.3268,0.0002,0.1539,7.7323,0.4377,0.0028,
3.5652,31,1,ok,0,1,8.3179,0.0011,0.0000,8.3165,0.0002,0.1615,7.7157,0.4365,0.0028,
3.5652,32,1,ok,0,1,8.3433,0.0010,0.0000,8.3421,0.0002,0.1582,7.7428,0.4372,0.0037,
3.5652,33,1,ok,0,1,8.2887,0.0012,0.0000,8.2873,0.0002,0.1571,7.6938,0.4331,0.0032,
3.5652,34,1,ok,0,1,8.6017,0.0017,0.2818,8.3179,0.0003,0.1697,7.7136,0.4314,0.0032,
3.5652,35,1,ok,0,1,8.3198,0.0011,0.0000,8.3185,0.0003,0.1601,7.7168,0.4376,0.0040,
3.5652,36,1,ok,0,1,8.3046,0.0005,0.0000,8.3039,0.0002,0.1550,7.7063,0.4390,0.0034,
3.5652,37,1,ok,0,1,8.3105,0.0009,0.0000,8.3093,0.0002,0.1556,7.7169,0.4337,0.0030,
3.5652,38,1,ok,0,1,8.3021,0.0011,0.0000,8.3008,0.0002,0.1576,7.7068,0.4336,0.0028,
3.5652,39,1,ok,0,1,8.3048,0.0003,0.0000,8.3042,0.0002,0.1597,7.7083,0.4335,0.0027,
3.5652,40,1,ok,0,1,8.3109,0.0018,0.0000,8.3089,0.0002,0.1586,7.7117,0.4355,0.0030,
3.5652,41,1,ok,0,2,24.5393,0.0013,7.5202,17.0176,0.0002,0.2819,15.4818,1.2480,0.0058,
