level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
12.5356,0,0,ok,-1,0.0000,2.3892,0,2.3892,0.0011,-,-,-,-,-,-,-,2.3605,0.0276,
12.5356,1,0,ok,-1,0.1212,4.7547,0,4.6334,0.0005,-,-,-,-,-,-,-,4.6023,0.0307,
12.5356,2,0,ok,-1,1.6606,7.1076,0,5.4469,0.0011,-,-,-,-,-,-,-,5.4201,0.0257,
12.5356,3,0,ok,-1,2.8696,9.4819,0,6.6122,0.0011,-,-,-,-,-,-,-,6.5845,0.0267,
12.5356,4,0,ok,-1,9.2527,11.8493,0,2.5966,0.0012,-,-,-,-,-,-,-,2.5676,0.0278,
12.5356,5,0,ok,-1,14.6574,17.0448,0,2.3874,0.0010,-,-,-,-,-,-,-,2.3599,0.0265,
12.5356,6,0,ok,-1,25.3180,27.7001,0,2.3821,0.0008,-,-,-,-,-,-,-,2.3553,0.0260,
12.5356,7,0,ok,-1,25.7534,30.0627,0,4.3093,0.0013,-,-,-,-,-,-,-,4.2799,0.0281,
12.5356,8,0,ok,-1,28.3765,32.4233,0,4.0468,0.0004,-,-,-,-,-,-,-,4.0222,0.0242,
12.5356,9,0,ok,-1,28.5213,34.7947,0,6.2734,0.0009,-,-,-,-,-,-,-,6.2468,0.0256,
12.5356,10,1,ok,-1,29.7022,37.1618,0,7.4596,0.0016,-,-,-,-,-,-,-,7.4313,0.0267,
12.5356,11,1,ok,-1,33.0714,39.5340,0,6.4626,0.0007,-,-,-,-,-,-,-,6.4359,0.0259,
12.5356,12,1,ok,-1,33.2001,41.9088,0,8.7087,0.0003,-,-,-,-,-,-,-,8.6820,0.0264,
12.5356,13,1,ok,-1,34.2612,44.2769,0,10.0157,0.0010,-,-,-,-,-,-,-,9.9882,0.0265,
12.5356,14,1,ok,-1,39.2845,46.6535,0,7.3690,0.0006,-,-,-,-,-,-,-,7.3402,0.0283,
12.5356,15,1,ok,-1,43.0530,49.0148,0,5.9619,0.0015,-,-,-,-,-,-,-,5.9349,0.0254,
12.5356,16,1,ok,-1,44.2449,51.3925,0,7.1476,0.0028,-,-,-,-,-,-,-,7.1208,0.0240,
12.5356,17,1,ok,-1,48.5039,53.7703,0,5.2664,0.0007,-,-,-,-,-,-,-,5.2399,0.0258,
12.5356,18,1,ok,-1,56.4384,58.8291,0,2.3907,0.0010,-,-,-,-,-,-,-,2.3648,0.0249,
12.5356,19,1,ok,-1,56.4696,61.1960,0,4.7264,0.0010,-,-,-,-,-,-,-,4.6995,0.0258,
12.5356,20,1,ok,-1,64.3143,66.7083,0,2.3939,0.0005,-,-,-,-,-,-,-,2.3676,0.0258,
12.5356,21,1,ok,-1,70.0474,72.4382,0,2.3907,0.0024,-,-,-,-,-,-,-,2.3632,0.0251,
12.5356,22,1,ok,-1,72.0381,74.8067,0,2.7686,0.0010,-,-,-,-,-,-,-,2.7407,0.0269,
12.5356,23,1,ok,-1,72.8469,77.1798,0,4.3329,0.0018,-,-,-,-,-,-,-,4.3062,0.0249,
12.5356,24,1,ok,-1,87.9313,90.3202,0,2.3889,0.0010,-,-,-,-,-,-,-,2.3628,0.0252,
12.5356,25,1,ok,-1,89.8955,92.6815,0,2.7861,0.0013,-,-,-,-,-,-,-,2.7595,0.0253,
12.5356,26,1,ok,-1,90.3613,95.0565,0,4.6951,0.0010,-,-,-,-,-,-,-,4.6619,0.0323,
