level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
12.4417,0,0,ok,-1,0.0000,2.4071,0,2.4071,0.0003,-,-,-,-,-,-,-,2.3795,0.0272,
12.4417,1,0,ok,-1,0.1221,4.7851,0,4.6629,0.0008,-,-,-,-,-,-,-,4.6351,0.0270,
12.4417,2,0,ok,-1,1.6732,7.1671,0,5.4939,0.0010,-,-,-,-,-,-,-,5.4666,0.0264,
12.4417,3,0,ok,-1,2.8913,9.5470,0,6.6558,0.0014,-,-,-,-,-,-,-,6.6278,0.0266,
12.4417,4,0,ok,-1,9.3225,11.9357,0,2.6132,0.0010,-,-,-,-,-,-,-,2.5860,0.0262,
12.4417,5,0,ok,-1,14.7679,17.1750,0,2.4071,0.0004,-,-,-,-,-,-,-,2.3799,0.0268,
12.4417,6,0,ok,-1,25.5089,27.9130,0,2.4041,0.0009,-,-,-,-,-,-,-,2.3772,0.0260,
12.4417,7,0,ok,-1,25.9476,30.3028,0,4.3552,0.0011,-,-,-,-,-,-,-,4.3262,0.0279,
12.4417,8,0,ok,-1,28.5905,32.6838,0,4.0933,0.0023,-,-,-,-,-,-,-,4.0666,0.0243,
12.4417,9,0,ok,-1,28.7364,35.0736,0,6.3372,0.0018,-,-,-,-,-,-,-,6.3096,0.0258,
12.4417,10,1,ok,-1,29.9262,37.4528,0,7.5267,0.0016,-,-,-,-,-,-,-,7.4991,0.0260,
12.4417,11,1,ok,-1,33.3208,39.8357,0,6.5149,0.0008,-,-,-,-,-,-,-,6.4882,0.0259,
12.4417,12,1,ok,-1,33.4505,42.2252,0,8.7747,0.0004,-,-,-,-,-,-,-,8.7492,0.0251,
12.4417,13,1,ok,-1,34.5196,44.6088,0,10.0892,0.0016,-,-,-,-,-,-,-,10.0616,0.0261,
