level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
5.5408,0,0,ok,-1,0.0000,5.4159,0,5.4159,0.0010,-,-,-,-,-,-,-,5.3977,0.0172,
5.5408,1,0,ok,-1,0.2743,10.8113,0,10.5370,0.0004,-,-,-,-,-,-,-,10.5209,0.0157,
5.5408,2,0,ok,-1,3.7571,16.2186,0,12.4615,0.0018,-,-,-,-,-,-,-,12.4375,0.0222,
5.5408,3,0,ok,-1,6.4923,21.6110,0,15.1187,0.0008,-,-,-,-,-,-,-,15.1015,0.0163,
5.5408,4,0,ok,-1,20.9335,27.0248,0,6.0913,0.0003,-,-,-,-,-,-,-,6.0739,0.0170,
5.5408,5,0,ok,-1,33.1610,38.5822,0,5.4212,0.0011,-,-,-,-,-,-,-,5.4011,0.0191,
5.5408,6,0,ok,-1,57.2798,62.6861,0,5.4062,0.0023,-,-,-,-,-,-,-,5.3852,0.0188,
5.5408,7,0,ok,-1,58.2647,68.0753,0,9.8106,0.0009,-,-,-,-,-,-,-,9.7935,0.0162,
5.5408,8,0,ok,-1,64.1994,73.4725,0,9.2732,0.0004,-,-,-,-,-,-,-,9.2556,0.0172,
5.5408,9,0,ok,-1,64.5270,78.8714,0,14.3444,0.0013,-,-,-,-,-,-,-,14.3288,0.0143,
5.5408,10,1,ok,-1,67.1986,84.2761,0,17.0775,0.0009,-,-,-,-,-,-,-,17.0587,0.0179,
5.5408,11,1,ok,-1,74.8211,89.6760,0,14.8548,0.0019,-,-,-,-,-,-,-,14.8359,0.0170,
5.5408,12,1,ok,-1,75.1124,95.0853,0,19.9729,0.0002,-,-,-,-,-,-,-,19.9553,0.0174,
5.5408,13,1,ok,-1,77.5130,100.4974,0,22.9844,0.0015,-,-,-,-,-,-,-,22.9655,0.0174,
5.5408,14,1,ok,-1,88.8777,105.9070,0,17.0292,0.0013,-,-,-,-,-,-,-,17.0106,0.0174,
5.5408,15,1,ok,-1,97.4036,111.3197,0,13.9161,0.0014,-,-,-,-,-,-,-,13.8979,0.0169,
5.5408,16,1,ok,-1,100.1002,116.7354,0,16.6352,0.0008,-,-,-,-,-,-,-,16.6173,0.0170,
5.5408,17,1,ok,-1,109.7357,122.1517,0,12.4160,0.0014,-,-,-,-,-,-,-,12.4002,0.0144,
5.5408,18,1,ok,-1,127.6870,133.1114,0,5.4244,0.0019,-,-,-,-,-,-,-,5.4073,0.0152,
5.5408,19,1,ok,-1,127.7576,138.5203,0,10.7627,0.0008,-,-,-,-,-,-,-,10.7416,0.0204,
5.5408,20,1,ok,-1,145.5056,150.9341,0,5.4285,0.0018,-,-,-,-,-,-,-,5.4106,0.0162,
5.5408,21,1,ok,-1,158.4762,163.8958,0,5.4196,0.0009,-,-,-,-,-,-,-,5.4018,0.0169,
5.5408,22,1,ok,-1,162.9799,169.3021,0,6.3223,0.0015,-,-,-,-,-,-,-,6.3042,0.0165,
5.5408,23,1,ok,-1,164.8098,174.7043,0,9.8945,0.0011,-,-,-,-,-,-,-,9.8760,0.0174,
5.5408,24,1,ok,-1,198.9369,204.3380,0,5.4011,0.0010,-,-,-,-,-,-,-,5.3863,0.0138,
5.5408,25,1,ok,-1,203.3807,209.7173,0,6.3366,0.0004,-,-,-,-,-,-,-,6.3198,0.0163,
5.5408,26,1,ok,-1,204.4347,215.1124,0,10.6777,0.0005,-,-,-,-,-,-,-,10.6591,0.0180,
5.5408,27,1,ok,-1,205.5362,220.5104,0,14.9742,0.0014,-,-,-,-,-,-,-,14.9559,0.0169,
5.5408,28,1,ok,-1,225.9003,231.3180,0,5.4177,0.0012,-,-,-,-,-,-,-,5.4002,0.0163,
5.5408,29,1,ok,-1,235.9239,241.3400,0,5.4161,0.0021,-,-,-,-,-,-,-,5.3966,0.0173,
5.5408,30,1,ok,-1,253.7452,259.1541,0,5.4089,0.0010,-,-,-,-,-,-,-,5.3888,0.0190,
5.5408,31,1,ok,-1,267.9129,273.3113,0,5.3984,0.0017,-,-,-,-,-,-,-,5.3813,0.0154,
5.5408,32,1,ok,-1,276.2333,281.6366,0,5.4033,0.0003,-,-,-,-,-,-,-,5.3909,0.0121,
5.5408,33,1,ok,-1,315.3925,320.7988,0,5.4063,0.0003,-,-,-,-,-,-,-,5.3893,0.0167,
5.5408,34,1,ok,-1,320.5435,326.1850,0,5.6415,0.0014,-,-,-,-,-,-,-,5.6252,0.0149,
5.5408,35,1,ok,-1,329.2396,334.6583,0,5.4187,0.0019,-,-,-,-,-,-,-,5.3975,0.0193,
5.5408,36,1,ok,-1,348.3898,353.7857,0,5.3958,0.0006,-,-,-,-,-,-,-,5.3789,0.0163,
5.5408,37,1,ok,-1,358.8255,364.2424,0,5.4169,0.0004,-,-,-,-,-,-,-,5.3969,0.0196,
5.5408,38,1,ok,-1,380.2489,385.6452,0,5.3963,0.0018,-,-,-,-,-,-,-,5.3779,0.0166,
