level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
7.6629,0,0,ok,-1,0.0000,3.9135,0,3.9135,0.0010,-,-,-,-,-,-,-,3.8867,0.0257,
7.6629,1,0,ok,-1,0.1983,7.8006,0,7.6023,0.0003,-,-,-,-,-,-,-,7.5811,0.0208,
7.6629,2,0,ok,-1,2.7166,11.7037,0,8.9871,0.0013,-,-,-,-,-,-,-,8.9554,0.0304,
7.6629,3,0,ok,-1,4.6943,15.5901,0,10.8958,0.0011,-,-,-,-,-,-,-,10.8737,0.0210,
7.6629,4,0,ok,-1,15.1362,19.5054,0,4.3692,0.0010,-,-,-,-,-,-,-,4.3450,0.0231,
7.6629,5,0,ok,-1,23.9775,27.9010,0,3.9235,0.0003,-,-,-,-,-,-,-,3.8980,0.0252,
7.6629,6,0,ok,-1,41.4169,45.3201,0,3.9031,0.0008,-,-,-,-,-,-,-,3.8821,0.0202,
7.6629,7,0,ok,-1,42.1291,49.2146,0,7.0855,0.0008,-,-,-,-,-,-,-,7.0637,0.0210,
7.6629,8,0,ok,-1,46.4202,53.1148,0,6.6945,0.0011,-,-,-,-,-,-,-,6.6679,0.0255,
7.6629,9,0,ok,-1,46.6571,57.0101,0,10.3530,0.0017,-,-,-,-,-,-,-,10.3318,0.0196,
7.6629,10,1,ok,-1,48.5888,60.9187,0,12.3298,0.0013,-,-,-,-,-,-,-,12.3030,0.0255,
7.6629,11,1,ok,-1,54.1004,64.8186,0,10.7182,0.0005,-,-,-,-,-,-,-,10.6954,0.0223,
7.6629,12,1,ok,-1,54.3110,68.7179,0,14.4069,0.0003,-,-,-,-,-,-,-,14.3834,0.0232,
7.6629,13,1,ok,-1,56.0468,72.6186,0,16.5718,0.0005,-,-,-,-,-,-,-,16.5478,0.0235,
7.6629,14,1,ok,-1,64.2642,76.5313,0,12.2671,0.0010,-,-,-,-,-,-,-,12.2406,0.0255,
7.6629,15,1,ok,-1,70.4289,80.4373,0,10.0083,0.0014,-,-,-,-,-,-,-,9.9847,0.0222,
7.6629,16,1,ok,-1,72.3788,84.3537,0,11.9749,0.0009,-,-,-,-,-,-,-,11.9498,0.0243,
7.6629,17,1,ok,-1,79.3459,88.2658,0,8.9199,0.0010,-,-,-,-,-,-,-,8.8986,0.0202,
7.6629,18,1,ok,-1,92.3258,96.2514,0,3.9256,0.0013,-,-,-,-,-,-,-,3.9062,0.0181,
7.6629,19,1,ok,-1,92.3768,100.1732,0,7.7963,0.0005,-,-,-,-,-,-,-,7.7669,0.0289,
7.6629,20,1,ok,-1,105.2098,109.1332,0,3.9235,0.0009,-,-,-,-,-,-,-,3.9020,0.0206,
7.6629,21,1,ok,-1,114.5883,118.5017,0,3.9134,0.0009,-,-,-,-,-,-,-,3.8930,0.0194,
7.6629,22,1,ok,-1,117.8447,122.4016,0,4.5568,0.0014,-,-,-,-,-,-,-,4.5344,0.0210,
7.6629,23,1,ok,-1,119.1679,126.3113,0,7.1434,0.0007,-,-,-,-,-,-,-,7.1231,0.0197,
7.6629,24,1,ok,-1,143.8440,147.7434,0,3.8995,0.0013,-,-,-,-,-,-,-,3.8808,0.0174,
7.6629,25,1,ok,-1,147.0571,151.6413,0,4.5842,0.0019,-,-,-,-,-,-,-,4.5610,0.0213,
7.6629,26,1,ok,-1,147.8192,155.5288,0,7.7096,0.0004,-,-,-,-,-,-,-,7.6868,0.0224,
7.6629,27,1,ok,-1,148.6157,159.4278,0,10.8121,0.0010,-,-,-,-,-,-,-,10.7866,0.0246,
7.6629,28,1,ok,-1,163.3402,167.2459,0,3.9057,0.0004,-,-,-,-,-,-,-,3.8831,0.0221,
7.6629,29,1,ok,-1,170.5879,174.5010,0,3.9131,0.0006,-,-,-,-,-,-,-,3.8900,0.0224,
7.6629,30,1,ok,-1,183.4738,187.3885,0,3.9147,0.0005,-,-,-,-,-,-,-,3.8821,0.0322,
7.6629,31,1,ok,-1,193.7180,197.6258,0,3.9078,0.0017,-,-,-,-,-,-,-,3.8850,0.0211,
7.6629,32,1,ok,-1,199.7342,203.6373,0,3.9032,0.0010,-,-,-,-,-,-,-,3.8873,0.0149,
7.6629,33,1,ok,-1,228.0487,231.9399,0,3.8912,0.0014,-,-,-,-,-,-,-,3.8692,0.0206,
7.6629,34,1,ok,-1,231.7732,235.8139,0,4.0407,0.0014,-,-,-,-,-,-,-,4.0195,0.0199,
7.6629,35,1,ok,-1,238.0610,241.9634,0,3.9024,0.0015,-,-,-,-,-,-,-,3.8759,0.0250,
7.6629,36,1,ok,-1,251.9079,255.8062,0,3.8983,0.0022,-,-,-,-,-,-,-,3.8739,0.0222,
7.6629,37,1,ok,-1,259.4535,263.3577,0,3.9042,0.0017,-,-,-,-,-,-,-,3.8737,0.0287,
7.6629,38,1,ok,-1,274.9440,278.8442,0,3.9002,0.0013,-,-,-,-,-,-,-,3.8743,0.0247,
7.6629,39,1,ok,-1,281.6872,285.5814,0,3.8942,0.0012,-,-,-,-,-,-,-,3.8746,0.0184,
7.6629,40,1,ok,-1,291.2344,295.1326,0,3.8981,0.0014,-,-,-,-,-,-,-,3.8766,0.0201,
7.6629,41,1,ok,-1,291.6017,299.0123,0,7.4106,0.0009,-,-,-,-,-,-,-,7.3913,0.0184,
