level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
1.8086,0,0,ok,-1,0.0000,16.4983,0,16.4983,0.0010,-,-,-,-,-,-,-,16.4741,0.0232,
1.8086,1,0,ok,-1,0.8403,48.0784,0,47.2381,0.0011,-,-,-,-,-,-,-,47.2091,0.0278,
1.8086,2,0,ok,-1,11.5101,48.0900,0,36.5800,0.0012,-,-,-,-,-,-,-,36.5393,0.0394,
1.8086,3,0,ok,-1,19.8895,63.5525,0,43.6630,0.0014,-,-,-,-,-,-,-,43.6381,0.0234,
1.8086,4,0,ok,-1,64.1311,80.7075,0,16.5764,0.0011,-,-,-,-,-,-,-,16.5467,0.0285,
1.8086,5,0,ok,-1,101.5911,118.0872,0,16.4961,0.0013,-,-,-,-,-,-,-,16.4762,0.0187,
1.8086,6,0,ok,-1,175.4808,191.9328,0,16.4520,0.0009,-,-,-,-,-,-,-,16.4238,0.0273,
1.8086,7,0,ok,-1,178.4981,208.3598,0,29.8617,0.0011,-,-,-,-,-,-,-,29.8389,0.0216,
1.8086,8,0,ok,-1,196.6794,239.9368,0,43.2574,0.0014,-,-,-,-,-,-,-,43.2206,0.0354,
1.8086,9,0,ok,-1,197.6829,239.9493,0,42.2664,0.0011,-,-,-,-,-,-,-,42.2174,0.0479,
1.8086,10,1,dropped,-1,205.8677,265.8686,0,inf,0.0013,-,-,-,-,-,-,-,-,-,
1.8086,11,1,ok,-1,229.2199,270.5183,0,41.2984,0.0014,-,-,-,-,-,-,-,41.2651,0.0319,
1.8086,12,1,dropped,-1,230.1121,290.1131,0,inf,0.0015,-,-,-,-,-,-,-,-,-,
1.8086,13,1,dropped,-1,237.4667,297.4676,0,inf,0.0011,-,-,-,-,-,-,-,-,-,
1.8086,14,1,ok,-1,272.2833,331.8564,0,59.5731,0.0019,-,-,-,-,-,-,-,59.5345,0.0367,
1.8086,15,1,ok,-1,298.4027,331.8728,0,33.4701,0.0012,-,-,-,-,-,-,-,33.4153,0.0536,
1.8086,16,1,cancelled,-1,306.6641,331.8730,0,inf,0.0014,-,-,-,-,-,-,-,-,-,
1.8086,17,1,not_sent,-1,336.1833,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,18,1,not_sent,-1,391.1783,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,19,1,not_sent,-1,391.3946,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,20,1,not_sent,-1,445.7668,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,21,1,not_sent,-1,485.5032,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,22,1,not_sent,-1,499.3004,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,23,1,not_sent,-1,504.9064,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,24,1,not_sent,-1,609.4573,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,25,1,not_sent,-1,623.0712,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,26,1,not_sent,-1,626.3002,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,27,1,not_sent,-1,629.6747,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,28,1,not_sent,-1,692.0615,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,29,1,not_sent,-1,722.7697,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,30,1,not_sent,-1,777.3663,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,31,1,not_sent,-1,820.7702,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,32,1,not_sent,-1,846.2604,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,33,1,not_sent,-1,966.2273,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,34,1,not_sent,-1,982.0077,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,35,1,not_sent,-1,1008.6488,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,36,1,not_sent,-1,1067.3170,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,37,1,not_sent,-1,1099.2873,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,38,1,not_sent,-1,1164.9195,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,39,1,not_sent,-1,1193.4901,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,40,1,not_sent,-1,1233.9411,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,41,1,not_sent,-1,1235.4972,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,42,1,not_sent,-1,1244.0775,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,43,1,not_sent,-1,1255.4109,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,44,1,not_sent,-1,1258.1696,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,45,1,not_sent,-1,1266.9608,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,46,1,not_sent,-1,1270.4930,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,47,1,not_sent,-1,1281.2978,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,48,1,not_sent,-1,1314.7955,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,49,1,not_sent,-1,1329.8523,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,50,1,not_sent,-1,1345.1898,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,51,1,not_sent,-1,1352.9891,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,52,1,not_sent,-1,1363.2925,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,53,1,not_sent,-1,1454.8266,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,54,1,not_sent,-1,1489.4685,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,55,1,not_sent,-1,1520.6323,-,0,inf,-,-,-,-,-,-,-,-,-,-,
1.8086,56,1,not_sent,-1,1526.8592,-,0,inf,-,-,-,-,-,-,-,-,-,-,
