level_rpm,index,measured,status,replica,scheduled_offset_s,done_offset_s,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
5.3933,0,0,ok,-1,0.0000,5.5535,0,5.5535,0.0014,-,-,-,-,-,-,-,5.5305,0.0217,
5.3933,1,0,ok,-1,0.2818,11.0707,0,10.7889,0.0013,-,-,-,-,-,-,-,10.7671,0.0205,
5.3933,2,0,ok,-1,3.8598,16.5993,0,12.7395,0.0006,-,-,-,-,-,-,-,12.7150,0.0239,
5.3933,3,0,ok,-1,6.6698,22.1391,0,15.4693,0.0010,-,-,-,-,-,-,-,15.4457,0.0225,
5.3933,4,0,ok,-1,21.5059,27.6775,0,6.1716,0.0018,-,-,-,-,-,-,-,6.1400,0.0298,
5.3933,5,0,ok,-1,34.0679,39.6323,0,5.5644,0.0008,-,-,-,-,-,-,-,5.5453,0.0183,
5.3933,6,0,ok,-1,58.8462,64.3823,0,5.5361,0.0008,-,-,-,-,-,-,-,5.5129,0.0224,
5.3933,7,0,ok,-1,59.8581,69.8891,0,10.0310,0.0004,-,-,-,-,-,-,-,10.0088,0.0218,
5.3933,8,0,ok,-1,65.9550,75.4145,0,9.4595,0.0011,-,-,-,-,-,-,-,9.4332,0.0252,
5.3933,9,0,ok,-1,66.2916,80.9457,0,14.6541,0.0011,-,-,-,-,-,-,-,14.6302,0.0228,
5.3933,10,1,ok,-1,69.0363,86.4745,0,17.4383,0.0006,-,-,-,-,-,-,-,17.4120,0.0257,
5.3933,11,1,ok,-1,76.8673,92.0189,0,15.1517,0.0009,-,-,-,-,-,-,-,15.1173,0.0334,
5.3933,12,1,ok,-1,77.1665,97.5542,0,20.3877,0.0012,-,-,-,-,-,-,-,20.3592,0.0273,
5.3933,13,1,ok,-1,79.6328,103.0905,0,23.4577,0.0009,-,-,-,-,-,-,-,23.4362,0.0207,
5.3933,14,1,ok,-1,91.3083,108.6385,0,17.3303,0.0015,-,-,-,-,-,-,-,17.3041,0.0246,
