script,runtime,timestamp,server,cpu,gpu,server_sku,cpu_sku,gpu_sku,cpu_cores,model,dataset,device,dtype,quant,quant_detail,mode,replicas_raw,samples,batch_size,resolution,steps,warmup,seed,threads,compile,compile_detail,cpu_offload,batched,loaded_dtype,diffusion_batch_size,sla_seconds,sla_percentile,num_shards,gpu_placement,workload,sla_ms,think_time_s,measure_s,batch_wait_ms,pre_workers,processor,selftest,precisions_swept,devices,tf32,cpu_bind,requests_per_level,warmup_requests,calibrate_generations,drop_after_factor,early_stop,backend,vllm_pipeline,vllm_extra_args,vllm_command,images,compute_s_max,compute_s_sum,images_per_second,images_per_second_per_w,best_batch_size,best_replicas,ms_per_image_per_replica,measured_s,cpu_launch_ms,gpu_ms,bound_by,power_w_mean,power_source,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,denoise_s_per_image,other_s_per_image,denoise_pct,top1_correct,top1_accuracy,max_qps,max_requests_per_minute,max_images_per_hour,rho_at_capacity,service_capacity_rpm,rho_measured,steady_state_mean_ms,max_concurrent_users,users_think_0s,users_think_15s,users_think_30s,users_think_60s,max_concurrent_inflight,goodput_rps,sla_attainment_pct,verdict,sweep_note,requests_measured,requests_dropped,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,predicted_mean_ms,mean_batch_size,queue_depth_max,p95_drift,calibrated_mu_rps,calibrated_service_s,service_p95_s,service_cv2,harness_lag_ms,preprocess_ms,queue_wait_ms,inference_ms,ipc_ms,text_encode_ms,denoise_ms,vae_decode_ms,jpeg_encode_ms,server_time_ms,http_overhead_ms,resource_samples,replica_rss_gib_max,gpu_peak_alloc_gib,joules_per_image,cpu_logical_count,cpu_cores_busy_mean,sys_cores_busy_mean,sys_cores_busy_max,cpu_power_w_mean,cpu_cores_busy_max,proc_cpu_pct_mean,sys_cpu_pct_mean,rss_gib_max,threads_max,gpu_util_pct_mean,gpu_mem_util_pct_mean,gpu_mem_used_gib_max,gpu_power_w_mean,gpu_power_w_max,gpu_sm_clock_mhz_mean,gpu_temp_c_max,complete,host_source,shard_images,shard_compute_s,shard_images_per_second,files
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_210751,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",Efficient-Large-Model/Sana_600M_1024px_diffusers,byliutao/coco2014val_10k (prompts),cuda,bfloat16,disabled,,,1,,1,1024x1024,20,,42,48,disabled,vLLM default (diffusers adapter: pipeline runs as diffusers ships it),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,SanaPipeline via diffusers adapter,,/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--Efficient-Large-Model--Sana_600M_1024px_diffusers/snapshots/28f3af7689de15f3883d5863059a2fca0aa9b829 --served-model-name Efficient-Large-Model/Sana_600M_1024px_diffusers --omni --host 127.0.0.1 --port 43285 --dtype bfloat16 --max-num-seqs 1 --diffusion-load-format diffusers,0,,,0.46652,0.001455,,,,,,,,320.7,gpu NVML board + cpu RAPL package,3123.8,3.1238,,,,,,,0.34488,20.693,1241.6,0.500,,,,11.4,1.1,6.3,11.4,21.8,1.08,0.46652,100.0,,,20,0,3178.4,4562.3,5256.4,5852.0,6000.9,2174.7,,4,1.328,0.68976,1.4498,1.454,0.0000,2.0,,,,,,,,,5234.4,28.5,42,4.25,10.15,687.5,,,1.35,2.21,261.5,,,1.4,,,67.8,,10.87,59.2,74.2,1585,58,yes,logged,,,0.46652,server_dit_vllm_Efficient-Large-Model_Sana_600M_1024px_diffusers_bfloat16_cuda1r_20260918_210751.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_210953,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",Efficient-Large-Model/Sana_1600M_1024px_diffusers,byliutao/coco2014val_10k (prompts),cuda,bfloat16,disabled,,,1,,1,1024x1024,20,,42,48,disabled,vLLM default (diffusers adapter: pipeline runs as diffusers ships it),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,SanaPipeline via diffusers adapter,,/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--Efficient-Large-Model--Sana_1600M_1024px_diffusers/snapshots/ac0da2ff55fbe434795be0dce883042e4d49e2fc --served-model-name Efficient-Large-Model/Sana_1600M_1024px_diffusers --omni --host 127.0.0.1 --port 59165 --dtype bfloat16 --max-num-seqs 1 --diffusion-load-format diffusers,0,,,0.28202,0.000070,,,,,,,,4011.9,gpu NVML board + cpu RAPL package,5266.8,5.2668,,,,,,,0.20855,12.513,750.8,0.500,,,,7.4,1.1,4.2,7.4,13.6,1.10,0.28202,100.0,,,20,0,5420.5,7650.0,8842.4,9847.9,10099.2,3596.3,,3,1.332,0.41710,2.3975,2.398,0.0000,1.8,,,,,,,,,8816.0,27.3,71,5.14,12.06,14225.8,,,1.33,10.56,3951.7,,,1.4,,,73.6,,12.78,60.2,74.3,1454,60,yes,logged,,,0.28202,server_dit_vllm_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16_cuda1r_20260918_210953.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_211158,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",Efficient-Large-Model/Sana_1600M_1024px_diffusers,byliutao/coco2014val_10k (prompts),cuda,bfloat16,fp8,"vLLM-Omni diffusion quantization, method=fp8, dynamic activations",,1,,1,1024x1024,20,,42,48,disabled,vLLM default (diffusers adapter: pipeline runs as diffusers ships it),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,SanaPipeline via diffusers adapter,,"/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--Efficient-Large-Model--Sana_1600M_1024px_diffusers/snapshots/ac0da2ff55fbe434795be0dce883042e4d49e2fc --served-model-name Efficient-Large-Model/Sana_1600M_1024px_diffusers --omni --host 127.0.0.1 --port 39123 --dtype bfloat16 --max-num-seqs 1 --diffusion-load-format diffusers --diffusion-quantization-config '{""method"": ""fp8"", ""activation_scheme"": ""dynamic""}'",0,,,0.28231,0.000880,,,,,,,,320.6,gpu NVML board + cpu RAPL package,5176.7,5.1767,,,,,,,0.20868,12.521,751.2,0.500,,,,7.3,1.1,4.2,7.3,13.6,1.08,0.28231,100.0,,,20,0,5301.0,7538.0,8708.7,9704.6,9953.5,3594.1,,3,1.329,0.41735,2.3961,2.397,0.0000,1.5,,,,,,,,,8682.2,27.4,71,4.64,11.25,1135.8,,,1.15,2.50,260.8,,,1.2,,,71.4,,11.97,59.9,74.0,1446,60,yes,logged,,,0.28231,server_dit_vllm_Efficient-Large-Model_Sana_1600M_1024px_diffusers_bfloat16-fp8_cuda1r_20260918_211158.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_211404,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,byliutao/coco2014val_10k (prompts),cuda,bfloat16,disabled,,,1,,1,1024x1024,20,,42,48,disabled,vLLM default (diffusers adapter: pipeline runs as diffusers ships it),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,PixArtSigmaPipeline via diffusers adapter,,/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--PixArt-alpha--PixArt-Sigma-XL-2-1024-MS/snapshots/e102b3591cc82e97071b8b4cb90d834d0c487207 --served-model-name PixArt-alpha/PixArt-Sigma-XL-2-1024-MS --omni --host 127.0.0.1 --port 47975 --dtype bfloat16 --max-num-seqs 1 --diffusion-load-format diffusers,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,SLA unmet at every level tried,,,,,,,,,,,,,0.25703,3.8906,3.893,0.0000,,,,,,,,,,,,,3.74,14.62,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_dit_vllm_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_bfloat16_cuda1r_20260918_211404.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_211703,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,byliutao/coco2014val_10k (prompts),cuda,bfloat16,fp8,"vLLM-Omni diffusion quantization, method=fp8, dynamic activations",,1,,1,1024x1024,20,,42,48,disabled,vLLM default (diffusers adapter: pipeline runs as diffusers ships it),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,PixArtSigmaPipeline via diffusers adapter,,"/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--PixArt-alpha--PixArt-Sigma-XL-2-1024-MS/snapshots/e102b3591cc82e97071b8b4cb90d834d0c487207 --served-model-name PixArt-alpha/PixArt-Sigma-XL-2-1024-MS --omni --host 127.0.0.1 --port 38421 --dtype bfloat16 --max-num-seqs 1 --diffusion-load-format diffusers --diffusion-quantization-config '{""method"": ""fp8"", ""activation_scheme"": ""dynamic""}'",0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,SLA unmet at every level tried,,,,,,,,,,,,,0.18512,5.4019,5.403,0.0000,,,,,,,,,,,,,3.29,13.99,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_dit_vllm_PixArt-alpha_PixArt-Sigma-XL-2-1024-MS_bfloat16-fp8_cuda1r_20260918_211703.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_212057,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",stabilityai/stable-diffusion-3.5-medium,byliutao/coco2014val_10k (prompts),cuda,bfloat16,disabled,,,1,,1,1024x1024,20,,42,48,enabled,vLLM default (regional torch.compile on the transformer blocks),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,StableDiffusion3Pipeline via native vLLM-Omni implementation,,/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--stabilityai--stable-diffusion-3.5-medium/snapshots/b940f670f0eda2d07fbb75229e779da1ad11eb80 --served-model-name stabilityai/stable-diffusion-3.5-medium --omni --host 127.0.0.1 --port 55549 --dtype bfloat16 --max-num-seqs 1,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,SLA unmet at every level tried,,,,,,,,,,,,,0.18037,5.5441,5.550,0.0000,,,,,,,,,,,,,3.63,20.09,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_dit_vllm_stabilityai_stable-diffusion-3.5-medium_bfloat16_cuda1r_20260918_212057.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_212502,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",stabilityai/stable-diffusion-3.5-medium,byliutao/coco2014val_10k (prompts),cuda,bfloat16,disabled,,,1,,2,1024x1024,20,,42,48,enabled,vLLM default (regional torch.compile on the transformer blocks),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,1,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,StableDiffusion3Pipeline via native vLLM-Omni implementation,,/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--stabilityai--stable-diffusion-3.5-medium/snapshots/b940f670f0eda2d07fbb75229e779da1ad11eb80 --served-model-name stabilityai/stable-diffusion-3.5-medium --omni --host 127.0.0.1 --port 51313 --dtype bfloat16 --max-num-seqs 2 --request-batch-max-wait-ms 1,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,SLA unmet at every level tried,,,,,,,,,,,,,0.17941,5.5739,5.575,0.0000,,,,,,,,,,,,,3.72,21.65,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_dit_vllm_stabilityai_stable-diffusion-3.5-medium_bfloat16_cuda1r_20260918_212502.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_213550,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",Efficient-Large-Model/Sana_600M_1024px_diffusers,byliutao/coco2014val_10k (prompts),cuda,bfloat16,fp8,"vLLM-Omni diffusion quantization, method=fp8, dynamic activations",,1,,1,1024x1024,20,,42,48,disabled,vLLM default (diffusers adapter: pipeline runs as diffusers ships it),,,,,30,95,1,full pipeline resident on GPU,interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,SanaPipeline via diffusers adapter,,"/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--Efficient-Large-Model--Sana_600M_1024px_diffusers/snapshots/28f3af7689de15f3883d5863059a2fca0aa9b829 --served-model-name Efficient-Large-Model/Sana_600M_1024px_diffusers --omni --host 127.0.0.1 --port 55389 --dtype bfloat16 --max-num-seqs 1 --diffusion-load-format diffusers --diffusion-quantization-config '{""method"": ""fp8"", ""activation_scheme"": ""dynamic""}'",0,,,0.28680,0.000071,,,,,,,,4058.2,gpu NVML board + cpu RAPL package,5131.8,5.1318,,,,,,,0.21201,12.721,763.2,0.500,,,,7.4,1.1,4.3,7.4,13.8,1.09,0.28680,100.0,,,20,0,5245.2,7483.4,8636.9,9608.2,9851.0,3537.5,,4,1.330,0.42403,2.3583,2.363,0.0000,2.0,,,,,,,,,8614.3,30.3,70,3.96,9.75,14150.0,,,1.12,2.11,4004.2,,,1.2,,,36.0,,10.46,54.1,69.7,1901,58,yes,logged,,,0.28680,server_dit_vllm_Efficient-Large-Model_Sana_600M_1024px_diffusers_bfloat16-fp8_cuda1r_20260918_213550.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_213753,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",stabilityai/stable-diffusion-3.5-large,byliutao/coco2014val_10k (prompts),cuda,bfloat16,disabled,,,1,,1,1024x1024,20,,42,48,enabled,vLLM default (regional torch.compile on the transformer blocks),,,,,30,95,1,"CPU offload (--enable-cpu-offload, resident placement ran out of memory)",interactive,,30,,0,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,StableDiffusion3Pipeline via native vLLM-Omni implementation,,/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--stabilityai--stable-diffusion-3.5-large/snapshots/ceddf0a7fdf2064ea28e2213e3b84e4afa170a0f --served-model-name stabilityai/stable-diffusion-3.5-large --omni --host 127.0.0.1 --port 34563 --dtype bfloat16 --max-num-seqs 1 --enable-cpu-offload,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,SLA unmet at every level tried,,,,,,,,,,,,,0.06065,16.4890,16.497,0.0000,,,,,,,,,,,,,44.09,20.01,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_dit_vllm_stabilityai_stable-diffusion-3.5-large_bfloat16_cuda1r_20260918_213753.txt
server_dit_vllm,vllm-omni 0.26.0 (vllm 0.26.0),20260918_214242,SR630 V4,6740P,L4,ThinkSystem SR630 V4,Intel(R) Xeon(R) 6740P,NVIDIA L4 x2,"96 logical, 96 physical, 2 sockets",stabilityai/stable-diffusion-3.5-large,byliutao/coco2014val_10k (prompts),cuda,bfloat16,disabled,,,1,,2,1024x1024,20,,42,48,enabled,vLLM default (regional torch.compile on the transformer blocks),,,,,30,95,1,"CPU offload (--enable-cpu-offload, resident placement ran out of memory)",interactive,,30,,1,,,,,cuda:0,,0-47,20,2,2,2,enabled,vllm-omni,StableDiffusion3Pipeline via native vLLM-Omni implementation,,/home/lhe4/vit_dit_first_cut/vllm_env/bin/vllm-omni serve /home/lhe4/vit_dit_first_cut/models/models--stabilityai--stable-diffusion-3.5-large/snapshots/ceddf0a7fdf2064ea28e2213e3b84e4afa170a0f --served-model-name stabilityai/stable-diffusion-3.5-large --omni --host 127.0.0.1 --port 48839 --dtype bfloat16 --max-num-seqs 2 --request-batch-max-wait-ms 1 --enable-cpu-offload,0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0,,,,,,,,SLA unmet at every level tried,,,,,,,,,,,,,0.06032,16.5780,16.581,0.0000,,,,,,,,,,,,,44.19,21.41,,,,,,,,,,,,,,,,,,,yes,logged,,,,server_dit_vllm_stabilityai_stable-diffusion-3.5-large_bfloat16_cuda1r_20260918_214242.txt
