level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
12.7208,0,0,ok,-1,0,2.3529,0.0012,-,-,-,-,-,-,-,2.3237,0.0281,
12.7208,1,0,ok,-1,0,4.5515,0.0013,-,-,-,-,-,-,-,4.5252,0.0251,
12.7208,2,1,ok,-1,0,5.3594,0.0012,-,-,-,-,-,-,-,5.3336,0.0246,
12.7208,3,1,ok,-1,0,6.4968,0.0017,-,-,-,-,-,-,-,6.4726,0.0225,
12.7208,4,1,ok,-1,0,2.5389,0.0003,-,-,-,-,-,-,-,2.5107,0.0280,
12.7208,5,1,ok,-1,0,2.3588,0.0010,-,-,-,-,-,-,-,2.3277,0.0302,
12.7208,6,1,ok,-1,0,2.3699,0.0020,-,-,-,-,-,-,-,2.3447,0.0232,
12.7208,7,1,ok,-1,0,4.2659,0.0009,-,-,-,-,-,-,-,4.2393,0.0256,
12.7208,8,1,ok,-1,0,4.0003,0.0017,-,-,-,-,-,-,-,3.9800,0.0185,
12.7208,9,1,ok,-1,0,6.1891,0.0004,-,-,-,-,-,-,-,6.1660,0.0228,
12.7208,10,1,ok,-1,0,7.3624,0.0003,-,-,-,-,-,-,-,7.3338,0.0283,
12.7208,11,1,ok,-1,0,6.3710,0.0015,-,-,-,-,-,-,-,6.3478,0.0218,
12.7208,12,1,ok,-1,0,8.5730,0.0009,-,-,-,-,-,-,-,8.5505,0.0215,
12.7208,13,1,ok,-1,0,9.8510,0.0015,-,-,-,-,-,-,-,9.8260,0.0235,
12.7208,14,1,ok,-1,0,7.2346,0.0008,-,-,-,-,-,-,-,7.2054,0.0284,
12.7208,15,1,ok,-1,0,5.8518,0.0017,-,-,-,-,-,-,-,5.8283,0.0218,
12.7208,16,1,ok,-1,0,7.0021,0.0006,-,-,-,-,-,-,-,6.9680,0.0335,
12.7208,17,1,ok,-1,0,5.1311,0.0016,-,-,-,-,-,-,-,5.1042,0.0253,
12.7208,18,1,ok,-1,0,2.3494,0.0002,-,-,-,-,-,-,-,2.3254,0.0238,
12.7208,19,1,ok,-1,0,4.6473,0.0007,-,-,-,-,-,-,-,4.6192,0.0274,
12.7208,20,1,ok,-1,0,2.3398,0.0003,-,-,-,-,-,-,-,2.3190,0.0205,
12.7208,21,1,ok,-1,0,2.3438,0.0020,-,-,-,-,-,-,-,2.3215,0.0204,
