level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
5.5536,0,0,ok,-1,0,5.4003,0.0011,-,-,-,-,-,-,-,5.3810,0.0182,
5.5536,1,0,ok,-1,0,10.5029,0.0012,-,-,-,-,-,-,-,10.4858,0.0159,
5.5536,2,1,ok,-1,0,12.4266,0.0014,-,-,-,-,-,-,-,12.4023,0.0229,
5.5536,3,1,ok,-1,0,15.0849,0.0012,-,-,-,-,-,-,-,15.0678,0.0159,
5.5536,4,1,ok,-1,0,6.0699,0.0017,-,-,-,-,-,-,-,6.0514,0.0169,
5.5536,5,1,ok,-1,0,5.4090,0.0005,-,-,-,-,-,-,-,5.3899,0.0186,
5.5536,6,1,ok,-1,0,5.4034,0.0005,-,-,-,-,-,-,-,5.3854,0.0175,
5.5536,7,1,ok,-1,0,9.8025,0.0004,-,-,-,-,-,-,-,9.7876,0.0145,
5.5536,8,1,ok,-1,0,9.2762,0.0004,-,-,-,-,-,-,-,9.2587,0.0171,
5.5536,9,1,ok,-1,0,14.3385,0.0011,-,-,-,-,-,-,-,14.3228,0.0145,
5.5536,10,1,ok,-1,0,17.0780,0.0008,-,-,-,-,-,-,-,17.0585,0.0186,
5.5536,11,1,ok,-1,0,14.8586,0.0013,-,-,-,-,-,-,-,14.8404,0.0168,
5.5536,12,1,ok,-1,0,19.9683,0.0013,-,-,-,-,-,-,-,19.9502,0.0168,
5.5536,13,1,ok,-1,0,22.9854,0.0011,-,-,-,-,-,-,-,22.9659,0.0184,
5.5536,14,1,ok,-1,0,17.0549,0.0017,-,-,-,-,-,-,-,17.0365,0.0167,
5.5536,15,1,ok,-1,0,13.9571,0.0009,-,-,-,-,-,-,-,13.9396,0.0165,
5.5536,16,1,ok,-1,0,16.6783,0.0015,-,-,-,-,-,-,-,16.6598,0.0170,
5.5536,17,1,ok,-1,0,12.4693,0.0019,-,-,-,-,-,-,-,12.4528,0.0145,
5.5536,18,1,ok,-1,0,5.4231,0.0012,-,-,-,-,-,-,-,5.4073,0.0146,
5.5536,19,1,ok,-1,0,10.7679,0.0002,-,-,-,-,-,-,-,10.7474,0.0203,
5.5536,20,1,ok,-1,0,5.4173,0.0006,-,-,-,-,-,-,-,5.4003,0.0164,
5.5536,21,1,ok,-1,0,5.4251,0.0006,-,-,-,-,-,-,-,5.4075,0.0169,
