level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
7.7109,0,0,ok,-1,0,3.8984,0.0003,-,-,-,-,-,-,-,3.8724,0.0257,
7.7109,1,0,ok,-1,0,7.5636,0.0009,-,-,-,-,-,-,-,7.5421,0.0207,
7.7109,2,1,ok,-1,0,8.9500,0.0012,-,-,-,-,-,-,-,8.9177,0.0312,
7.7109,3,1,ok,-1,0,10.8536,0.0012,-,-,-,-,-,-,-,10.8320,0.0205,
7.7109,4,1,ok,-1,0,4.3604,0.0001,-,-,-,-,-,-,-,4.3376,0.0226,
7.7109,5,1,ok,-1,0,3.9013,0.0020,-,-,-,-,-,-,-,3.8736,0.0257,
7.7109,6,1,ok,-1,0,3.8918,0.0009,-,-,-,-,-,-,-,3.8711,0.0198,
7.7109,7,1,ok,-1,0,7.0597,0.0013,-,-,-,-,-,-,-,7.0383,0.0201,
7.7109,8,1,ok,-1,0,6.6823,0.0009,-,-,-,-,-,-,-,6.6563,0.0251,
7.7109,9,1,ok,-1,0,10.3248,0.0009,-,-,-,-,-,-,-,10.3043,0.0196,
7.7109,10,1,ok,-1,0,12.2891,0.0005,-,-,-,-,-,-,-,12.2632,0.0253,
7.7109,11,1,ok,-1,0,10.6991,0.0009,-,-,-,-,-,-,-,10.6757,0.0225,
7.7109,12,1,ok,-1,0,14.3873,0.0011,-,-,-,-,-,-,-,14.3632,0.0230,
7.7109,13,1,ok,-1,0,16.5563,0.0010,-,-,-,-,-,-,-,16.5310,0.0243,
7.7109,14,1,ok,-1,0,12.2849,0.0026,-,-,-,-,-,-,-,12.2570,0.0252,
7.7109,15,1,ok,-1,0,10.0529,0.0011,-,-,-,-,-,-,-,10.0289,0.0229,
7.7109,16,1,ok,-1,0,12.0155,0.0015,-,-,-,-,-,-,-,11.9900,0.0240,
7.7109,17,1,ok,-1,0,8.9917,0.0016,-,-,-,-,-,-,-,8.9700,0.0201,
7.7109,18,1,ok,-1,0,3.9161,0.0009,-,-,-,-,-,-,-,3.8969,0.0183,
7.7109,19,1,ok,-1,0,7.7823,0.0004,-,-,-,-,-,-,-,7.7522,0.0298,
7.7109,20,1,ok,-1,0,3.9139,0.0023,-,-,-,-,-,-,-,3.8905,0.0211,
7.7109,21,1,ok,-1,0,3.9121,0.0022,-,-,-,-,-,-,-,3.8901,0.0199,
