level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,server_s,http_s,error
5.4111,0,0,ok,-1,0,5.5337,0.0014,-,-,-,-,-,-,-,5.5100,0.0223,
5.4111,1,0,ok,-1,0,10.7561,0.0013,-,-,-,-,-,-,-,10.7341,0.0207,
5.4111,2,1,ok,-1,0,12.6869,0.0003,-,-,-,-,-,-,-,12.6622,0.0244,
5.4111,3,1,ok,-1,0,15.4007,0.0001,-,-,-,-,-,-,-,15.3786,0.0220,
5.4111,4,1,ok,-1,0,6.1435,0.0014,-,-,-,-,-,-,-,6.1112,0.0309,
5.4111,5,1,ok,-1,0,5.5480,0.0008,-,-,-,-,-,-,-,5.5292,0.0180,
5.4111,6,1,ok,-1,0,5.5433,0.0017,-,-,-,-,-,-,-,5.5191,0.0225,
5.4111,7,1,ok,-1,0,10.0337,0.0017,-,-,-,-,-,-,-,10.0114,0.0206,
5.4111,8,1,ok,-1,0,9.4684,0.0007,-,-,-,-,-,-,-,9.4409,0.0268,
5.4111,9,1,ok,-1,0,14.6562,0.0009,-,-,-,-,-,-,-,14.6323,0.0230,
5.4111,10,1,ok,-1,0,17.4463,0.0015,-,-,-,-,-,-,-,17.4189,0.0259,
5.4111,11,1,ok,-1,0,15.1843,0.0017,-,-,-,-,-,-,-,15.1492,0.0334,
5.4111,12,1,ok,-1,0,20.4146,0.0011,-,-,-,-,-,-,-,20.3871,0.0264,
5.4111,13,1,ok,-1,0,23.4780,0.0009,-,-,-,-,-,-,-,23.4552,0.0219,
5.4111,14,1,ok,-1,0,17.3757,0.0009,-,-,-,-,-,-,-,17.3503,0.0246,
5.4111,15,1,ok,-1,0,14.1918,0.0010,-,-,-,-,-,-,-,14.1612,0.0297,
5.4111,16,1,ok,-1,0,16.9777,0.0009,-,-,-,-,-,-,-,16.9533,0.0235,
5.4111,17,1,ok,-1,0,12.6641,0.0014,-,-,-,-,-,-,-,12.6294,0.0332,
5.4111,18,1,ok,-1,0,5.5748,0.0007,-,-,-,-,-,-,-,5.5493,0.0247,
5.4111,19,1,ok,-1,0,11.0418,0.0019,-,-,-,-,-,-,-,11.0111,0.0288,
5.4111,20,1,ok,-1,0,5.5710,0.0010,-,-,-,-,-,-,-,5.5476,0.0225,
5.4111,21,1,ok,-1,0,5.5502,0.0012,-,-,-,-,-,-,-,5.5279,0.0211,
