script,timestamp,server,cpu,gpu,model,device,dtype,quant,precision,workload,sla_seconds,think_time_s,level,is_best,result,note,replicas,batch_size,offered_rps,requests_per_minute,rho,requests_measured,images_per_second,images_per_minute,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,denoise_pct,cpu_launch_ms,gpu_ms,p50_ms,p95_ms,p99_ms,mean_latency_ms,predicted_mean_ms,sla_attainment_pct,dropped,mean_batch_size,queue_depth_max,cpu_cores_busy_mean,gpu_util_pct_mean,gpu_power_w_mean,cpu_power_w_mean,power_w_mean,images_per_second_per_w,file
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,1,0,PASS,ok,,,8.00,,,903,,,,,,,,,16.3,20.9,46.7,,,,,1.1,,0.4,0.7,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,2,0,PASS,ok,,,16.00,,,1871,,,,,,,,,16.6,21.5,47.9,,,,,1.1,,0.7,1.4,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,3,0,PASS,ok,,,32.00,,,3771,,,,,,,,,16.7,21.9,49.1,,,,,1.3,,1.4,2.4,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,4,0,PASS,ok,,,64.00,,,7722,,,,,,,,,17.2,23.6,50.1,,,,,1.6,,2.5,4.0,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,5,0,PASS,ok,,,128.00,,,15360,,,,,,,,,18.7,29.1,51.3,,,,,2.4,,4.5,6.5,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,6,0,PASS,ok,,,256.00,,,30871,,,,,,,,,26.5,53.7,86.0,,,,,4.7,,7.3,9.1,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,7,0,FAIL,p95 49714.8 ms > 100 ms,,,512.00,,,61340,,,,,,,,,29672.9,49714.8,51201.5,,,,,7.4,,9.5,9.0,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,8,0,FAIL,p95 377.1 ms > 100 ms,,,362.04,,,43529,,,,,,,,,89.7,377.1,501.6,,,,,7.2,,9.5,9.5,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,9,0,PASS,ok,,,304.44,,,36683,,,,,,,,,35.0,69.9,142.4,,,,,5.8,,8.2,9.5,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
server_vit_benchmark,20260911_191358,SR650a V4,6787P,RTX PRO 6000,google/vit-base-patch16-224,cuda,bfloat16,,bf16,interactive,0.1000,5,10,1,PASS,ok,,,331.99,,,39896,,,,,,,,,45.1,89.1,147.1,,,,,6.4,,8.8,9.5,,,,,server_vit_google_vit-base-patch16-224_interactive_20260911_191358.txt
