level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
8.9968,0,0,ok,0,1,13.3641,0.0012,0.0001,13.3615,0.0013,1.3141,7.1405,4.9025,0.0043,
8.9968,1,0,ok,1,1,13.9264,0.0004,0.0000,13.9245,0.0015,1.2087,7.5730,5.1394,0.0032,
8.9968,2,0,ok,2,1,12.9946,0.0017,0.0000,12.9915,0.0013,1.1030,7.7833,4.1012,0.0040,
8.9968,3,0,ok,3,1,12.2462,0.0019,0.0000,12.2432,0.0011,1.1115,6.9803,4.1483,0.0028,
8.9968,4,0,ok,0,1,13.9553,0.0011,0.4708,13.4827,0.0007,1.5325,7.0967,4.8494,0.0040,
8.9968,5,0,ok,1,1,12.3369,0.0006,0.0000,12.3356,0.0008,1.5401,6.5821,4.2093,0.0040,
8.9968,6,0,ok,2,1,13.1343,0.0011,0.0000,13.1324,0.0007,1.0978,8.0076,4.0235,0.0035,
8.9968,7,0,ok,3,1,12.0312,0.0014,0.0000,12.0290,0.0008,0.8157,7.2885,3.9211,0.0036,
8.9968,8,0,ok,0,1,13.0554,0.0007,0.0000,13.0537,0.0009,1.6399,6.7234,4.6872,0.0031,
8.9968,9,0,ok,1,1,12.7922,0.0004,0.0000,12.7910,0.0009,1.2286,7.2494,4.3094,0.0035,
8.9968,10,1,ok,3,1,18.3891,0.0011,6.5281,11.8592,0.0007,0.9670,6.9219,3.9664,0.0039,
8.9968,11,1,ok,2,1,15.2474,0.0024,2.3288,12.9156,0.0006,1.4263,7.5867,3.8987,0.0038,
8.9968,12,1,ok,1,1,20.2783,0.0004,6.2727,14.0045,0.0008,1.3702,7.4944,5.1364,0.0034,
8.9968,13,1,ok,0,1,18.0946,0.0025,4.8535,13.2379,0.0007,1.4711,7.1576,4.6060,0.0032,
8.9968,14,1,ok,3,1,17.5632,0.0015,5.0361,12.5249,0.0006,0.9161,7.3599,4.2445,0.0042,
8.9968,15,1,ok,2,1,13.5576,0.0022,1.3375,12.2173,0.0006,1.0481,7.2183,3.9472,0.0036,
8.9968,16,1,ok,0,1,16.9777,0.0005,4.1834,12.7930,0.0007,1.2652,7.1598,4.3641,0.0039,
8.9968,17,1,ok,1,1,12.8559,0.0015,0.0000,12.8535,0.0008,1.4808,6.9192,4.4499,0.0036,
8.9968,18,1,ok,3,1,12.6015,0.0022,0.0000,12.5984,0.0008,0.9599,7.0334,4.6008,0.0042,
8.9968,19,1,ok,2,1,12.6268,0.0009,0.0000,12.6253,0.0006,1.1500,7.3510,4.1207,0.0036,
8.9968,20,1,ok,0,1,12.4725,0.0006,0.0000,12.4711,0.0009,1.2171,6.9049,4.3458,0.0031,
8.9968,21,1,ok,1,1,12.8432,0.0013,0.0000,12.8410,0.0008,1.1948,7.4101,4.2334,0.0027,
8.9968,22,1,ok,3,1,11.6483,0.0020,0.0000,11.6456,0.0007,0.8909,6.6678,4.0835,0.0034,
8.9968,23,1,ok,2,1,12.0253,0.0015,0.0000,12.0229,0.0008,1.0112,7.0198,3.9886,0.0032,
8.9968,24,1,ok,0,1,12.7739,0.0008,0.0001,12.7714,0.0015,1.3453,7.1120,4.3107,0.0034,
8.9968,25,1,ok,1,1,13.7036,0.0015,0.0000,13.7013,0.0008,1.1873,7.7832,4.7273,0.0035,
8.9968,26,1,ok,3,1,12.9466,0.0014,0.0000,12.9444,0.0007,0.9766,7.0774,4.8868,0.0035,
8.9968,27,1,ok,2,1,12.4305,0.0020,0.0000,12.4278,0.0007,0.9660,7.0603,4.3979,0.0036,
8.9968,28,1,ok,0,1,13.0917,0.0012,0.0000,13.0897,0.0007,1.1501,7.1972,4.7389,0.0035,
8.9968,29,1,ok,3,1,12.2852,0.0010,0.0000,12.2835,0.0007,0.9596,6.7607,4.5597,0.0034,
8.9968,30,1,ok,1,1,12.6827,0.0016,0.0000,12.6802,0.0008,1.3925,6.9675,4.3164,0.0038,
8.9968,31,1,ok,2,1,12.0467,0.0015,0.0000,12.0443,0.0008,1.0185,7.0924,3.9299,0.0034,
8.9968,32,1,ok,0,1,12.8049,0.0015,0.0000,12.8026,0.0008,1.1824,7.3142,4.3021,0.0038,
8.9968,33,1,ok,3,1,11.3658,0.0015,0.0000,11.3634,0.0008,0.7967,6.5594,4.0038,0.0034,
8.9968,34,1,ok,1,1,13.1790,0.0009,0.0000,13.1774,0.0007,1.2113,7.1229,4.8398,0.0034,
8.9968,35,1,ok,2,1,12.6707,0.0014,0.0000,12.6685,0.0008,1.1898,7.5920,3.8828,0.0039,
8.9968,36,1,ok,0,1,12.5963,0.0009,0.0000,12.5945,0.0008,1.1603,7.1050,4.3256,0.0035,
8.9968,37,1,ok,3,1,11.5724,0.0010,0.0000,11.5706,0.0008,0.8401,6.8301,3.8966,0.0038,
8.9968,38,1,ok,1,1,12.3744,0.0014,0.0000,12.3721,0.0008,1.2313,6.8396,4.2977,0.0034,
8.9968,39,1,ok,2,1,12.9891,0.0024,0.0000,12.9859,0.0008,0.9590,7.5722,4.4514,0.0032,
8.9968,40,1,ok,0,1,14.0330,0.0009,0.0000,14.0311,0.0009,1.4699,7.3383,5.2195,0.0033,
8.9968,41,1,ok,3,1,12.9473,0.0007,0.0000,12.9455,0.0011,0.9420,7.6712,4.3287,0.0035,
8.9968,42,1,ok,1,1,13.1896,0.0010,0.0000,13.1876,0.0009,1.3527,7.3682,4.4633,0.0033,
