level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
72.5914,0,0,ok,0,1,0.4106,0.0013,0.0001,0.4080,0.0012,0.0518,0.2708,0.0819,0.0035,
72.5914,1,0,ok,0,1,0.8001,0.0003,0.3894,0.4097,0.0006,0.0527,0.2707,0.0830,0.0034,
72.5914,2,0,ok,0,1,0.9448,0.0010,0.5332,0.4101,0.0005,0.0534,0.2707,0.0819,0.0039,
72.5914,3,0,ok,0,1,1.1447,0.0005,0.7355,0.4083,0.0004,0.0528,0.2707,0.0819,0.0029,
72.5914,4,0,ok,0,1,0.4549,0.0014,0.0411,0.4120,0.0004,0.0533,0.2721,0.0825,0.0041,
72.5914,5,0,ok,0,1,0.4113,0.0014,0.0000,0.4093,0.0006,0.0528,0.2706,0.0819,0.0040,
72.5914,6,0,ok,0,1,0.4092,0.0012,0.0000,0.4074,0.0005,0.0520,0.2699,0.0819,0.0035,
72.5914,7,0,ok,0,1,0.7430,0.0004,0.3336,0.4086,0.0004,0.0530,0.2700,0.0820,0.0036,
72.5914,8,0,ok,0,1,0.6986,0.0013,0.2887,0.4083,0.0004,0.0532,0.2700,0.0818,0.0033,
72.5914,9,0,ok,0,1,1.0852,0.0005,0.6731,0.4112,0.0003,0.0528,0.2731,0.0815,0.0037,
72.5914,10,1,ok,0,1,1.2907,0.0010,0.8803,0.4090,0.0004,0.0532,0.2698,0.0818,0.0041,
72.5914,11,1,ok,0,1,1.1183,0.0012,0.7077,0.4090,0.0004,0.0531,0.2701,0.0822,0.0037,
72.5914,12,1,ok,0,1,1.5051,0.0011,1.0950,0.4087,0.0004,0.0529,0.2703,0.0822,0.0033,
72.5914,13,1,ok,0,1,1.7309,0.0011,1.3208,0.4086,0.0004,0.0536,0.2699,0.0821,0.0030,
72.5914,14,1,ok,0,1,1.2734,0.0006,0.8629,0.4096,0.0003,0.0534,0.2701,0.0821,0.0040,
72.5914,15,1,ok,0,1,1.0307,0.0011,0.6215,0.4076,0.0004,0.0527,0.2699,0.0819,0.0031,
72.5914,16,1,ok,0,1,1.2342,0.0016,0.8232,0.4089,0.0004,0.0530,0.2698,0.0821,0.0040,
72.5914,17,1,ok,0,1,0.9089,0.0010,0.4977,0.4098,0.0004,0.0530,0.2706,0.0825,0.0036,
72.5914,18,1,ok,0,1,0.4101,0.0014,0.0000,0.4082,0.0005,0.0522,0.2700,0.0821,0.0038,
72.5914,19,1,ok,0,1,0.8144,0.0002,0.4045,0.4093,0.0004,0.0528,0.2700,0.0828,0.0037,
72.5914,20,1,ok,0,1,0.4118,0.0006,0.0000,0.4107,0.0005,0.0555,0.2698,0.0822,0.0031,
72.5914,21,1,ok,0,1,0.4089,0.0007,0.0000,0.4077,0.0005,0.0524,0.2705,0.0822,0.0027,
72.5914,22,1,ok,0,1,0.4754,0.0005,0.0647,0.4098,0.0004,0.0536,0.2707,0.0825,0.0030,
72.5914,23,1,ok,0,1,0.7459,0.0008,0.3350,0.4097,0.0004,0.0538,0.2705,0.0822,0.0031,
72.5914,24,1,ok,0,1,0.4094,0.0013,0.0000,0.4076,0.0005,0.0522,0.2703,0.0822,0.0029,
72.5914,25,1,ok,0,1,0.4805,0.0006,0.0696,0.4099,0.0003,0.0534,0.2706,0.0825,0.0034,
72.5914,26,1,ok,0,1,0.8102,0.0010,0.3991,0.4098,0.0004,0.0535,0.2705,0.0822,0.0036,
72.5914,27,1,ok,0,1,1.1372,0.0011,0.7251,0.4106,0.0004,0.0530,0.2711,0.0828,0.0037,
72.5914,28,1,ok,0,1,0.4093,0.0005,0.0000,0.4083,0.0005,0.0526,0.2700,0.0823,0.0033,
72.5914,29,1,ok,0,1,0.4095,0.0007,0.0000,0.4083,0.0005,0.0523,0.2702,0.0823,0.0034,
72.5914,30,1,ok,0,1,0.4098,0.0015,0.0000,0.4077,0.0006,0.0519,0.2700,0.0823,0.0035,
72.5914,31,1,ok,0,1,0.4094,0.0014,0.0000,0.4075,0.0005,0.0519,0.2700,0.0823,0.0032,
72.5914,32,1,ok,0,1,0.4123,0.0008,0.0000,0.4110,0.0005,0.0523,0.2698,0.0852,0.0037,
72.5914,33,1,ok,0,1,0.4097,0.0014,0.0000,0.4078,0.0005,0.0520,0.2701,0.0824,0.0032,
