level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
24.3590,0,0,ok,0,1,1.2257,0.0011,0.0001,1.2233,0.0013,0.0348,1.0672,0.1183,0.0030,
24.3590,1,0,ok,0,1,2.3971,0.0006,1.1627,1.2332,0.0006,0.0342,1.0761,0.1196,0.0032,
24.3590,2,0,ok,0,1,2.8579,0.0014,1.6035,1.2524,0.0005,0.0336,1.0946,0.1200,0.0042,
24.3590,3,0,ok,0,1,3.5250,0.0007,2.2351,1.2888,0.0004,0.0326,1.1310,0.1220,0.0031,
24.3590,4,0,ok,0,1,1.5531,0.0014,0.2388,1.3125,0.0005,0.0325,1.1554,0.1210,0.0036,
24.3590,5,0,ok,0,1,1.2860,0.0015,0.0000,1.2839,0.0005,0.0320,1.1257,0.1224,0.0037,
24.3590,6,0,ok,0,1,1.2531,0.0017,0.0000,1.2508,0.0006,0.0335,1.0922,0.1219,0.0031,
24.3590,7,0,ok,0,1,2.2800,0.0011,1.0279,1.2506,0.0004,0.0338,1.0928,0.1206,0.0033,
24.3590,8,0,ok,0,1,2.2277,0.0008,0.9293,1.2972,0.0004,0.0319,1.1403,0.1216,0.0034,
24.3590,9,0,ok,0,1,3.4578,0.0004,2.1528,1.3041,0.0004,0.0341,1.1420,0.1245,0.0035,
24.3590,10,1,ok,0,1,4.2162,0.0015,2.8486,1.3657,0.0005,0.0326,1.2068,0.1227,0.0035,
24.3590,11,1,ok,0,1,3.8489,0.0011,2.4813,1.3661,0.0004,0.0324,1.2028,0.1276,0.0033,
24.3590,12,1,ok,0,1,5.1662,0.0010,3.7816,1.3832,0.0004,0.0361,1.2192,0.1247,0.0031,
24.3590,13,1,ok,0,1,6.0125,0.0007,4.6195,1.3919,0.0004,0.0341,1.2285,0.1264,0.0029,
24.3590,14,1,ok,0,1,4.8637,0.0010,3.4264,1.4359,0.0004,0.0364,1.2669,0.1288,0.0038,
24.3590,15,1,ok,0,1,4.3528,0.0018,2.9226,1.4279,0.0004,0.0350,1.2613,0.1284,0.0032,
24.3590,16,1,ok,0,1,5.1459,0.0013,3.7381,1.4062,0.0004,0.0353,1.2383,0.1289,0.0036,
24.3590,17,1,ok,0,1,4.4531,0.0017,2.9526,1.4985,0.0004,0.0328,1.3319,0.1304,0.0033,
24.3590,18,1,ok,0,1,1.8872,0.0014,0.3684,1.5169,0.0004,0.0349,1.3469,0.1313,0.0037,
24.3590,19,1,ok,0,1,3.3583,0.0005,1.8706,1.4867,0.0005,0.0385,1.3147,0.1296,0.0039,
24.3590,20,1,ok,0,1,1.3464,0.0013,0.0000,1.3446,0.0005,0.0290,1.1838,0.1285,0.0032,
24.3590,21,1,ok,0,1,1.3030,0.0010,0.0000,1.3015,0.0005,0.0311,1.1415,0.1261,0.0028,
24.3590,22,1,ok,0,1,1.7446,0.0009,0.2777,1.4655,0.0005,0.0351,1.2961,0.1309,0.0034,
24.3590,23,1,ok,0,1,2.7795,0.0008,1.3276,1.4506,0.0004,0.0389,1.2787,0.1300,0.0030,
24.3590,24,1,ok,0,1,1.2661,0.0015,0.0000,1.2640,0.0005,0.0328,1.1072,0.1207,0.0032,
24.3590,25,1,ok,0,1,1.5954,0.0021,0.2532,1.3397,0.0004,0.0301,1.1829,0.1234,0.0032,
24.3590,26,1,ok,0,1,2.7294,0.0008,1.3549,1.3733,0.0004,0.0319,1.2110,0.1271,0.0033,
24.3590,27,1,ok,0,1,3.8742,0.0004,2.4784,1.3950,0.0004,0.0375,1.2275,0.1265,0.0034,
24.3590,28,1,ok,0,1,1.3293,0.0010,0.0000,1.3276,0.0006,0.0300,1.1647,0.1293,0.0035,
24.3590,29,1,ok,0,1,1.3177,0.0005,0.0000,1.3167,0.0005,0.0303,1.1567,0.1259,0.0036,
24.3590,30,1,ok,0,1,1.2872,0.0013,0.0000,1.2853,0.0006,0.0317,1.1270,0.1231,0.0035,
24.3590,31,1,ok,0,1,1.2718,0.0010,0.0000,1.2702,0.0006,0.0324,1.1133,0.1213,0.0032,
24.3590,32,1,ok,0,1,1.2761,0.0011,0.0000,1.2745,0.0005,0.0323,1.1165,0.1221,0.0035,
24.3590,33,1,ok,0,1,1.2226,0.0006,0.0000,1.2214,0.0006,0.0345,1.0659,0.1177,0.0032,
24.3590,34,1,ok,0,1,1.2786,0.0015,0.0495,1.2272,0.0004,0.0342,1.0710,0.1187,0.0032,
24.3590,35,1,ok,0,1,1.2304,0.0015,0.0000,1.2283,0.0006,0.0345,1.0718,0.1183,0.0036,
24.3590,36,1,ok,0,1,1.2211,0.0010,0.0000,1.2194,0.0006,0.0346,1.0637,0.1178,0.0032,
24.3590,37,1,ok,0,1,1.2294,0.0009,0.0000,1.2279,0.0005,0.0346,1.0703,0.1194,0.0036,
24.3590,38,1,ok,0,1,1.2221,0.0007,0.0000,1.2208,0.0006,0.0347,1.0652,0.1175,0.0033,
24.3590,39,1,ok,0,1,1.2226,0.0009,0.0000,1.2211,0.0005,0.0346,1.0659,0.1176,0.0030,
24.3590,40,1,ok,0,1,1.2196,0.0004,0.0000,1.2187,0.0005,0.0348,1.0630,0.1176,0.0033,
24.3590,41,1,ok,0,1,2.3322,0.0012,1.1029,1.2277,0.0005,0.0342,1.0718,0.1183,0.0034,
24.3590,42,1,ok,0,1,2.9386,0.0008,1.6943,1.2430,0.0004,0.0338,1.0860,0.1201,0.0031,
24.3590,43,1,ok,0,1,3.3670,0.0011,2.0960,1.2695,0.0004,0.0328,1.1137,0.1199,0.0030,
