level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
20.1407,0,0,ok,0,1,1.4538,0.0013,0.0001,1.4512,0.0013,0.0337,1.2852,0.1293,0.0029,
20.1407,1,0,ok,0,1,2.9059,0.0009,1.3775,1.5268,0.0007,0.0290,1.3623,0.1322,0.0032,
20.1407,2,0,ok,0,1,3.5034,0.0009,1.9468,1.5552,0.0005,0.0285,1.3892,0.1333,0.0041,
20.1407,3,0,ok,0,1,4.3388,0.0015,2.7495,1.5873,0.0005,0.0294,1.4206,0.1343,0.0029,
20.1407,4,0,ok,0,1,1.9706,0.0018,0.3642,1.6041,0.0005,0.0303,1.4352,0.1350,0.0035,
20.1407,5,0,ok,0,1,1.5391,0.0006,0.0000,1.5378,0.0006,0.0277,1.3728,0.1337,0.0036,
20.1407,6,0,ok,0,1,1.4514,0.0019,0.0000,1.4489,0.0006,0.0320,1.2817,0.1320,0.0031,
20.1407,7,0,ok,0,1,2.7064,0.0006,1.1798,1.5240,0.0020,0.0281,1.3612,0.1314,0.0033,
20.1407,8,0,ok,0,1,2.6431,0.0016,1.0722,1.5679,0.0015,0.0289,1.4013,0.1343,0.0033,
20.1407,9,0,ok,0,1,4.1244,0.0007,2.5523,1.5703,0.0011,0.0296,1.4025,0.1346,0.0035,
20.1407,10,1,ok,0,1,5.0268,0.0016,3.3878,1.6360,0.0014,0.0295,1.4664,0.1365,0.0035,
20.1407,11,1,ok,0,1,4.5879,0.0007,2.9291,1.6572,0.0009,0.0292,1.4884,0.1362,0.0032,
20.1407,12,1,ok,0,1,6.1673,0.0008,4.5070,1.6589,0.0005,0.0274,1.4899,0.1386,0.0029,
20.1407,13,1,ok,0,1,7.2150,0.0012,5.5056,1.7078,0.0004,0.0296,1.5370,0.1384,0.0028,
20.1407,14,1,ok,0,1,5.7703,0.0012,4.0874,1.6813,0.0004,0.0299,1.5076,0.1401,0.0037,
20.1407,15,1,ok,0,1,5.1573,0.0015,3.4233,1.7321,0.0004,0.0311,1.5578,0.1400,0.0032,
20.1407,16,1,ok,0,1,6.1712,0.0010,4.4144,1.7554,0.0004,0.0346,1.5763,0.1408,0.0036,
20.1407,17,1,ok,0,1,5.2402,0.0005,3.5199,1.7193,0.0004,0.0288,1.5454,0.1419,0.0032,
20.1407,18,1,ok,0,1,2.0859,0.0008,0.3009,1.7837,0.0005,0.0316,1.6058,0.1426,0.0037,
20.1407,19,1,ok,0,1,3.7832,0.0006,2.0659,1.7162,0.0005,0.0290,1.5410,0.1426,0.0035,
20.1407,20,1,ok,0,1,1.6265,0.0010,0.0000,1.6249,0.0005,0.0235,1.4554,0.1427,0.0032,
20.1407,21,1,ok,0,1,1.5839,0.0015,0.0000,1.5818,0.0006,0.0255,1.4145,0.1389,0.0028,
20.1407,22,1,ok,0,1,2.0273,0.0011,0.3439,1.6820,0.0005,0.0293,1.5095,0.1400,0.0032,
20.1407,23,1,ok,0,1,3.2502,0.0009,1.5231,1.7258,0.0005,0.0295,1.5517,0.1416,0.0030,
20.1407,24,1,ok,0,1,1.4982,0.0017,0.0000,1.4958,0.0006,0.0295,1.3311,0.1319,0.0032,
20.1407,25,1,ok,0,1,1.8419,0.0011,0.2746,1.5657,0.0004,0.0280,1.4010,0.1336,0.0031,
20.1407,26,1,ok,0,1,3.1500,0.0011,1.5509,1.5976,0.0004,0.0292,1.4303,0.1347,0.0034,
20.1407,27,1,ok,0,1,4.5066,0.0005,2.8465,1.6592,0.0004,0.0276,1.4922,0.1359,0.0035,
20.1407,28,1,ok,0,1,1.5626,0.0008,0.0000,1.5612,0.0006,0.0264,1.3945,0.1368,0.0034,
20.1407,29,1,ok,0,1,1.5520,0.0015,0.0000,1.5499,0.0006,0.0269,1.3834,0.1359,0.0035,
20.1407,30,1,ok,0,1,1.5003,0.0012,0.0000,1.4985,0.0006,0.0296,1.3330,0.1324,0.0034,
20.1407,31,1,ok,0,1,1.4825,0.0015,0.0000,1.4804,0.0006,0.0303,1.3158,0.1313,0.0031,
