level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
10.7483,0,0,ok,0,1,2.8011,0.0019,0.0001,2.7979,0.0012,0.0471,2.6324,0.1153,0.0030,
10.7483,1,0,ok,0,1,5.4742,0.0006,2.6592,2.8137,0.0007,0.0458,2.6475,0.1172,0.0032,
10.7483,2,0,ok,0,1,6.4897,0.0012,3.6776,2.8103,0.0005,0.0463,2.6448,0.1156,0.0037,
10.7483,3,0,ok,0,1,7.8988,0.0004,5.0793,2.8186,0.0005,0.0461,2.6540,0.1157,0.0027,
10.7483,4,0,ok,0,1,3.2845,0.0010,0.4533,2.8297,0.0005,0.0455,2.6644,0.1156,0.0042,
10.7483,5,0,ok,0,1,2.8287,0.0017,0.0000,2.8264,0.0006,0.0465,2.6601,0.1161,0.0037,
10.7483,6,0,ok,0,1,2.8258,0.0013,0.0000,2.8238,0.0006,0.0464,2.6588,0.1156,0.0030,
10.7483,7,0,ok,0,1,5.1487,0.0014,2.3167,2.8302,0.0005,0.0461,2.6650,0.1158,0.0032,
10.7483,8,0,ok,0,1,4.9248,0.0017,2.0877,2.8350,0.0004,0.0457,2.6703,0.1157,0.0032,
10.7483,9,0,ok,0,1,7.5950,0.0002,4.7558,2.8386,0.0005,0.0459,2.6735,0.1158,0.0034,
10.7483,10,1,ok,0,1,9.0625,0.0006,6.2172,2.8442,0.0004,0.0456,2.6788,0.1160,0.0038,
10.7483,11,1,ok,0,1,7.9859,0.0012,5.1319,2.8523,0.0005,0.0454,2.6866,0.1164,0.0039,
10.7483,12,1,ok,0,1,10.6920,0.0003,7.8355,2.8558,0.0005,0.0463,2.6905,0.1161,0.0029,
10.7483,13,1,ok,0,1,12.3196,0.0022,9.4523,2.8647,0.0005,0.0461,2.6990,0.1167,0.0029,
10.7483,14,1,ok,0,1,9.3338,0.0014,6.4597,2.8722,0.0004,0.0461,2.7064,0.1162,0.0036,
10.7483,15,1,ok,0,1,7.8240,0.0018,4.9368,2.8849,0.0004,0.0453,2.7199,0.1163,0.0033,
10.7483,16,1,ok,0,1,9.3320,0.0014,6.4324,2.8977,0.0004,0.0441,2.7331,0.1164,0.0040,
10.7483,17,1,ok,0,1,7.2773,0.0013,4.3635,2.9120,0.0005,0.0439,2.7478,0.1167,0.0035,
10.7483,18,1,ok,0,1,2.9251,0.0018,0.0000,2.9227,0.0006,0.0436,2.7577,0.1174,0.0039,
10.7483,19,1,ok,0,1,5.9107,0.0007,2.8881,3.0215,0.0005,0.0396,2.8595,0.1188,0.0035,
10.7483,20,1,ok,0,1,2.9742,0.0013,0.0000,2.9722,0.0006,0.0419,2.8091,0.1180,0.0031,
10.7483,21,1,ok,0,1,2.9537,0.0012,0.0001,2.9519,0.0006,0.0424,2.7889,0.1177,0.0029,
10.7483,22,1,ok,0,1,3.7348,0.0013,0.6307,3.1022,0.0005,0.0354,2.9439,0.1197,0.0031,
10.7483,23,1,ok,0,1,6.0109,0.0013,2.7902,3.2190,0.0004,0.0361,3.0573,0.1224,0.0031,
10.7483,24,1,ok,0,1,2.9068,0.0014,0.0000,2.9047,0.0006,0.0442,2.7411,0.1165,0.0029,
10.7483,25,1,ok,0,1,3.6226,0.0014,0.6146,3.0062,0.0005,0.0400,2.8306,0.1322,0.0034,
10.7483,26,1,ok,0,1,6.1903,0.0008,3.0785,3.1105,0.0005,0.0345,2.9529,0.1198,0.0032,
10.7483,27,1,ok,0,1,8.8953,0.0015,5.6209,3.2723,0.0005,0.0407,3.1039,0.1246,0.0032,
10.7483,28,1,ok,0,1,3.2409,0.0005,0.0000,3.2397,0.0006,0.0284,3.0856,0.1227,0.0031,
10.7483,29,1,ok,0,1,3.2198,0.0020,0.0000,3.2172,0.0005,0.0291,3.0621,0.1221,0.0038,
10.7483,30,1,ok,0,1,3.0591,0.0007,0.0000,3.0578,0.0005,0.0374,2.8953,0.1220,0.0030,
10.7483,31,1,ok,0,1,3.0351,0.0014,0.0000,3.0331,0.0006,0.0383,2.8724,0.1189,0.0034,
10.7483,32,1,ok,0,1,3.1334,0.0006,0.0000,3.1323,0.0005,0.0330,2.9737,0.1216,0.0040,
10.7483,33,1,ok,0,1,2.8902,0.0010,0.0000,2.8887,0.0005,0.0469,2.7218,0.1168,0.0030,
10.7483,34,1,ok,0,1,3.1396,0.0019,0.2331,2.9043,0.0004,0.0440,2.7405,0.1165,0.0033,
10.7483,35,1,ok,0,1,2.9455,0.0006,0.0000,2.9443,0.0005,0.0440,2.7794,0.1170,0.0038,
10.7483,36,1,ok,0,1,2.9039,0.0013,0.0000,2.9019,0.0006,0.0445,2.7376,0.1163,0.0035,
10.7483,37,1,ok,0,1,2.9076,0.0013,0.0000,2.9058,0.0006,0.0445,2.7412,0.1167,0.0034,
10.7483,38,1,ok,0,1,2.8998,0.0011,0.0000,2.8981,0.0006,0.0439,2.7344,0.1163,0.0034,
10.7483,39,1,ok,0,1,2.9121,0.0006,0.0000,2.9109,0.0006,0.0448,2.7461,0.1168,0.0031,
10.7483,40,1,ok,0,1,2.9089,0.0010,0.0000,2.9072,0.0006,0.0447,2.7423,0.1167,0.0034,
10.7483,41,1,ok,0,1,5.6497,0.0007,2.6464,3.0022,0.0005,0.0409,2.8382,0.1193,0.0038,
10.7483,42,1,ok,0,1,7.3712,0.0016,4.2043,3.1649,0.0004,0.0337,3.0062,0.1218,0.0031,
10.7483,43,1,ok,0,1,8.7262,0.0011,5.4631,3.2616,0.0004,0.0338,3.1017,0.1232,0.0029,
10.7483,44,1,ok,0,1,11.7182,0.0006,8.2614,3.4557,0.0004,0.0323,3.2842,0.1358,0.0034,
10.7483,45,1,ok,0,1,13.7662,0.0011,10.2379,3.5267,0.0005,0.0344,3.3622,0.1256,0.0045,
10.7483,46,1,ok,0,1,16.8232,0.0015,13.1703,3.6510,0.0004,0.0299,3.4859,0.1321,0.0031,
10.7483,47,1,ok,0,1,18.7814,0.0005,15.0046,3.7758,0.0005,0.0400,3.5985,0.1341,0.0032,
10.7483,48,1,ok,0,1,16.9517,0.0013,13.1435,3.8065,0.0005,0.0387,3.6299,0.1346,0.0032,
10.7483,49,1,ok,0,1,18.3332,0.0010,14.4172,3.9146,0.0005,0.0464,3.7261,0.1385,0.0036,
10.7483,50,1,ok,0,1,19.6343,0.0011,15.7513,3.8814,0.0005,0.0433,3.6990,0.1344,0.0047,
10.7483,51,1,ok,0,1,22.3556,0.0013,18.3206,4.0331,0.0005,0.0317,3.8599,0.1377,0.0037,
10.7483,52,1,ok,0,1,24.5807,0.0016,20.6203,3.9584,0.0004,0.0376,3.7828,0.1342,0.0037,
10.7483,53,1,ok,0,1,13.2893,0.0013,9.1770,4.1105,0.0004,0.0407,3.9280,0.1382,0.0037,
10.7483,54,1,ok,0,1,11.3761,0.0012,7.4589,3.9155,0.0004,0.0389,3.7346,0.1388,0.0031,
10.7483,55,1,ok,0,1,10.1223,0.0007,6.1315,3.9896,0.0004,0.0366,3.8122,0.1367,0.0040,
10.7483,56,1,ok,0,1,13.0842,0.0022,9.0723,4.0092,0.0005,0.0284,3.8380,0.1392,0.0035,
10.7483,57,1,ok,0,1,9.6740,0.0021,5.7911,3.8804,0.0005,0.0421,3.6988,0.1366,0.0029,
10.7483,58,1,ok,0,1,12.6496,0.0024,8.6757,3.9711,0.0004,0.0399,3.7927,0.1346,0.0039,
10.7483,59,1,ok,0,1,13.8743,0.0012,9.9848,3.8878,0.0004,0.0346,3.7125,0.1370,0.0038,
10.7483,60,1,ok,0,1,3.0544,0.0013,0.0000,3.0525,0.0006,0.0370,2.8931,0.1194,0.0030,
10.7483,61,1,ok,0,1,3.0657,0.0013,0.0000,3.0637,0.0006,0.0369,2.9044,0.1192,0.0031,
10.7483,62,1,ok,0,1,3.1466,0.0011,0.0000,3.1450,0.0006,0.0344,2.9852,0.1219,0.0034,
10.7483,63,1,ok,0,1,3.1493,0.0005,0.0000,3.1482,0.0005,0.0337,2.9892,0.1218,0.0034,
10.7483,64,1,ok,0,1,2.9596,0.0016,0.0000,2.9575,0.0005,0.0417,2.7937,0.1179,0.0041,
10.7483,65,1,ok,0,1,2.9452,0.0009,0.0000,2.9438,0.0005,0.0438,2.7702,0.1266,0.0031,
10.7483,66,1,ok,0,1,4.5610,0.0014,1.4916,3.0676,0.0004,0.0371,2.9074,0.1202,0.0030,
10.7483,67,1,ok,0,1,7.6402,0.0006,4.3783,3.2609,0.0003,0.0385,3.0960,0.1227,0.0036,
10.7483,68,1,ok,0,1,8.8690,0.0012,5.5233,3.3442,0.0003,0.0372,3.1790,0.1245,0.0035,
10.7483,69,1,ok,0,1,10.6307,0.0016,7.1279,3.5009,0.0003,0.0451,3.3263,0.1262,0.0032,
10.7483,70,1,ok,0,1,12.8678,0.0018,9.3061,3.5596,0.0003,0.0254,3.3978,0.1325,0.0038,
10.7483,71,1,ok,0,1,3.3169,0.0015,0.0000,3.3149,0.0005,0.0252,3.1579,0.1286,0.0032,
10.7483,72,1,ok,0,1,3.0253,0.0015,0.0000,3.0232,0.0006,0.0387,2.8624,0.1191,0.0030,
10.7483,73,1,ok,0,1,4.1273,0.0017,0.9143,3.2109,0.0004,0.0314,3.0518,0.1239,0.0037,
10.7483,74,1,ok,0,1,3.2065,0.0025,0.0000,3.2035,0.0005,0.0302,3.0459,0.1232,0.0041,
10.7483,75,1,ok,0,1,3.8245,0.0006,0.3948,3.4287,0.0004,0.0342,3.2638,0.1276,0.0030,
10.7483,76,1,ok,0,1,2.9767,0.0010,0.0000,2.9752,0.0005,0.0416,2.8116,0.1189,0.0031,
10.7483,77,1,ok,0,1,3.1071,0.0014,0.0000,3.1051,0.0005,0.0341,2.9473,0.1203,0.0034,
10.7483,78,1,ok,0,1,4.6928,0.0017,1.3877,3.3031,0.0004,0.0332,3.1419,0.1251,0.0029,
10.7483,79,1,ok,0,1,6.4741,0.0009,3.1111,3.3618,0.0004,0.0336,3.1986,0.1260,0.0035,
10.7483,80,1,ok,0,1,5.3572,0.0024,1.8714,3.4829,0.0004,0.0280,3.3229,0.1284,0.0036,
10.7483,81,1,ok,0,1,7.3953,0.0010,3.6546,3.7393,0.0004,0.0407,3.5656,0.1294,0.0036,
10.7483,82,1,ok,0,1,6.2681,0.0003,2.4911,3.7763,0.0004,0.0348,3.6053,0.1329,0.0032,
10.7483,83,1,ok,0,1,3.1804,0.0017,0.0000,3.1781,0.0006,0.0315,3.0105,0.1322,0.0039,
10.7483,84,1,ok,0,1,3.7355,0.0019,0.3324,3.4007,0.0004,0.0257,3.2424,0.1287,0.0038,
10.7483,85,1,ok,0,1,5.9312,0.0026,2.3508,3.5774,0.0004,0.0399,3.4048,0.1291,0.0036,
10.7483,86,1,ok,0,1,2.8752,0.0011,0.0000,2.8736,0.0005,0.0451,2.7085,0.1163,0.0037,
