level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
12.5687,0,0,ok,0,1,4.7277,0.0013,0.0001,4.7249,0.0015,0.0411,4.5633,0.1178,0.0026,
12.5687,1,0,ok,1,1,4.9352,0.0007,0.0000,4.9331,0.0013,0.0363,4.7742,0.1195,0.0030,
12.5687,2,0,ok,0,1,7.8470,0.0012,3.0703,4.7750,0.0005,0.0404,4.6131,0.1180,0.0035,
12.5687,3,0,ok,1,1,7.4000,0.0028,2.1913,5.2036,0.0024,0.0237,5.0558,0.1215,0.0026,
12.5687,4,0,ok,0,1,5.1003,0.0004,0.2745,4.8250,0.0004,0.0392,4.6628,0.1192,0.0037,
12.5687,5,0,ok,1,1,5.1033,0.0014,0.0000,5.1014,0.0005,0.0289,4.9484,0.1208,0.0033,
12.5687,6,0,ok,0,1,4.7618,0.0008,0.0000,4.7603,0.0006,0.0406,4.5885,0.1283,0.0029,
12.5687,7,0,ok,1,1,5.0036,0.0013,0.0000,5.0001,0.0023,0.0334,4.8437,0.1200,0.0030,
12.5687,8,0,ok,0,1,6.5024,0.0010,1.7103,4.7907,0.0004,0.0405,4.6287,0.1184,0.0030,
12.5687,9,0,ok,1,1,7.5250,0.0018,2.2412,5.2803,0.0017,0.0203,5.1344,0.1224,0.0032,
12.5687,10,1,ok,0,1,10.2012,0.0014,5.1789,5.0205,0.0004,0.0305,4.8653,0.1210,0.0037,
12.5687,11,1,ok,1,1,8.4949,0.0015,2.9854,5.5057,0.0023,0.0149,5.3628,0.1243,0.0037,
12.5687,12,1,ok,0,1,11.9915,0.0004,6.7122,5.2784,0.0005,0.0232,5.1290,0.1235,0.0027,
12.5687,13,1,ok,1,1,13.0282,0.0003,7.3079,5.7183,0.0017,0.0095,5.5783,0.1276,0.0029,
12.5687,14,1,ok,0,1,11.4009,0.0007,5.9224,5.4773,0.0004,0.0224,5.3252,0.1260,0.0037,
12.5687,15,1,ok,1,1,10.1826,0.0014,4.2583,5.9207,0.0023,0.0190,5.7696,0.1291,0.0029,
12.5687,16,1,ok,0,1,12.0808,0.0010,6.4526,5.6268,0.0004,0.0260,5.4709,0.1264,0.0035,
12.5687,17,1,ok,1,1,10.8598,0.0014,4.7447,6.1127,0.0010,0.0187,5.9597,0.1310,0.0032,
12.5687,18,1,ok,0,1,5.6739,0.0006,0.0000,5.6728,0.0005,-0.0026,5.5451,0.1270,0.0033,
