level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
43.7107,0,0,ok,0,1,1.3736,0.0015,0.0000,1.3708,0.0013,0.0498,1.2025,0.1154,0.0030,
43.7107,1,0,ok,1,1,1.3806,0.0006,0.0000,1.3778,0.0021,0.0504,1.2094,0.1149,0.0030,
43.7107,2,0,ok,0,1,2.2745,0.0013,0.8961,1.3766,0.0005,0.0500,1.2084,0.1150,0.0032,
43.7107,3,0,ok,1,1,1.9714,0.0012,0.5913,1.3779,0.0010,0.0502,1.2096,0.1153,0.0028,
43.7107,4,0,ok,0,1,1.4638,0.0005,0.0968,1.3661,0.0004,0.0498,1.1969,0.1152,0.0042,
43.7107,5,0,ok,1,1,1.3729,0.0021,0.0000,1.3694,0.0015,0.0517,1.1994,0.1151,0.0032,
43.7107,6,0,ok,0,1,1.3733,0.0015,0.0000,1.3713,0.0005,0.0504,1.2026,0.1152,0.0031,
43.7107,7,0,ok,1,1,1.3707,0.0009,0.0000,1.3687,0.0010,0.0511,1.1993,0.1151,0.0032,
43.7107,8,0,ok,0,1,1.8749,0.0017,0.4945,1.3783,0.0004,0.0499,1.2103,0.1153,0.0028,
43.7107,9,0,ok,1,1,1.9569,0.0003,0.5766,1.3786,0.0014,0.0507,1.2093,0.1152,0.0033,
43.7107,10,1,ok,0,1,2.8757,0.0002,1.4946,1.3806,0.0003,0.0497,1.2115,0.1156,0.0038,
43.7107,11,1,ok,1,1,2.0321,0.0009,0.6511,1.3798,0.0003,0.0505,1.2108,0.1150,0.0035,
43.7107,12,1,ok,0,1,3.2528,0.0013,1.8713,1.3799,0.0004,0.0495,1.2120,0.1154,0.0030,
43.7107,13,1,ok,1,1,3.0738,0.0014,1.6895,1.3813,0.0016,0.0504,1.2126,0.1154,0.0028,
43.7107,14,1,ok,0,1,2.8880,0.0015,1.5064,1.3797,0.0004,0.0494,1.2118,0.1152,0.0033,
43.7107,15,1,ok,1,1,1.9354,0.0025,0.5499,1.3818,0.0012,0.0506,1.2121,0.1157,0.0033,
43.7107,16,1,ok,0,1,2.8474,0.0022,1.4632,1.3815,0.0004,0.0495,1.2127,0.1153,0.0039,
43.7107,17,1,ok,1,1,1.7552,0.0014,0.3708,1.3824,0.0005,0.0502,1.2133,0.1156,0.0034,
43.7107,18,1,ok,0,1,1.3724,0.0013,0.0000,1.3706,0.0005,0.0510,1.2008,0.1152,0.0036,
43.7107,19,1,ok,1,1,1.3877,0.0006,0.0000,1.3862,0.0010,0.0503,1.2166,0.1156,0.0036,
43.7107,20,1,ok,0,1,1.3732,0.0020,0.0000,1.3707,0.0004,0.0501,1.2021,0.1153,0.0033,
43.7107,21,1,ok,1,1,1.3918,0.0004,0.0000,1.3899,0.0015,0.0506,1.2209,0.1155,0.0028,
43.7107,22,1,ok,0,1,1.3782,0.0003,0.0000,1.3774,0.0004,0.0499,1.2090,0.1153,0.0033,
43.7107,23,1,ok,1,1,1.9800,0.0007,0.5882,1.3898,0.0012,0.0503,1.2209,0.1155,0.0031,
43.7107,24,1,ok,0,1,1.3800,0.0016,0.0000,1.3778,0.0005,0.0501,1.2092,0.1153,0.0031,
