level_rpm,index,measured,status,replica,batch_size,latency_s,harness_lag_s,queue_wait_s,service_s,ipc_s,text_encode_s,denoise_s,decode_s,jpeg_s,error
31.4721,0,0,ok,0,1,1.8970,0.0009,0.0001,1.8948,0.0012,0.0459,1.7300,0.1163,0.0026,
31.4721,1,0,ok,1,1,1.9283,0.0005,0.0000,1.9270,0.0008,0.0446,1.7639,0.1156,0.0029,
31.4721,2,0,ok,0,1,3.1438,0.0017,1.2339,1.9078,0.0005,0.0459,1.7315,0.1274,0.0029,
31.4721,3,0,ok,1,1,2.7624,0.0008,0.8328,1.9284,0.0003,0.0442,1.7660,0.1156,0.0025,
31.4721,4,0,ok,0,1,2.0276,0.0018,0.1180,1.9073,0.0005,0.0467,1.7402,0.1164,0.0040,
31.4721,5,0,ok,1,1,1.9315,0.0013,0.0000,1.9298,0.0004,0.0452,1.7662,0.1155,0.0028,
31.4721,6,0,ok,0,1,1.9017,0.0021,0.0000,1.8991,0.0006,0.0465,1.7334,0.1162,0.0028,
31.4721,7,0,ok,1,1,1.9328,0.0010,0.0000,1.9313,0.0004,0.0448,1.7676,0.1159,0.0030,
31.4721,8,0,ok,0,1,2.5887,0.0013,0.6822,1.9048,0.0004,0.0463,1.7396,0.1163,0.0026,
31.4721,9,0,ok,1,1,2.7677,0.0008,0.8295,1.9371,0.0003,0.0447,1.7736,0.1156,0.0032,
31.4721,10,1,ok,0,1,3.9689,0.0010,2.0597,1.9076,0.0006,0.0461,1.7413,0.1165,0.0037,
31.4721,11,1,ok,1,1,2.8962,0.0012,0.9542,1.9406,0.0003,0.0443,1.7776,0.1155,0.0031,
31.4721,12,1,ok,0,1,4.4868,0.0011,2.5745,1.9107,0.0004,0.0457,1.7458,0.1165,0.0026,
31.4721,13,1,ok,1,1,4.3670,0.0010,2.4213,1.9444,0.0003,0.0441,1.7817,0.1158,0.0027,
31.4721,14,1,ok,0,1,3.9808,0.0018,2.0616,1.9170,0.0005,0.0455,1.7516,0.1169,0.0030,
31.4721,15,1,ok,1,1,2.8287,0.0014,0.8638,1.9632,0.0003,0.0442,1.7993,0.1165,0.0031,
31.4721,16,1,ok,0,1,3.9259,0.0022,2.0029,1.9204,0.0004,0.0456,1.7545,0.1166,0.0036,
31.4721,17,1,ok,1,1,2.6635,0.0015,0.6561,2.0057,0.0003,0.0411,1.8438,0.1174,0.0034,
31.4721,18,1,ok,0,1,1.9213,0.0007,0.0000,1.9201,0.0005,0.0453,1.7548,0.1166,0.0032,
31.4721,19,1,ok,1,1,2.0202,0.0005,0.0000,2.0192,0.0005,0.0418,1.8563,0.1178,0.0032,
31.4721,20,1,ok,0,1,1.9194,0.0006,0.0000,1.9182,0.0005,0.0455,1.7530,0.1166,0.0031,
31.4721,21,1,ok,1,1,1.9651,0.0013,0.0000,1.9633,0.0004,0.0453,1.7989,0.1165,0.0025,
